Sensor1,Sensor2,Sensor3,Sensor4,Sensor5,Sensor6,Sensor7,Sensor8,Sensor9,Sensor10
488,527,420,0,478,520,638,433,630,638
496,525,431,0,475,527,646,434,625,635
486,506,423,0,466,520,643,430,629,632
491,405,426,99,413,532,653,441,620,611
495,374,416,106,407,534,660,438,621,609
313,353,386,124,402,520,651,433,630,613
313,346,379,109,400,522,654,434,630,610
329,355,385,112,398,526,656,453,630,614
326,345,378,113,394,521,654,433,633,611
330,353,383,114,392,518,654,438,632,610
337,353,389,112,394,522,654,430,634,609
346,356,392,108,399,522,653,431,630,610
345,355,393,110,398,522,652,434,633,609
353,364,394,115,402,524,654,434,629,612
347,359,391,111,397,523,652,437,632,611
342,354,392,113,397,522,653,428,635,609
333,356,391,72,380,517,642,402,636,606
319,436,386,151,383,519,651,405,639,606
351,378,398,127,403,527,649,425,608,601
377,376,418,146,424,521,642,424,614,602
348,359,386,109,396,515,656,417,628,603
351,371,387,125,397,515,653,414,633,605
357,380,392,118,398,518,655,423,629,607
355,376,390,117,395,517,655,418,630,604
353,374,386,104,390,516,656,416,633,605
340,361,380,110,387,518,660,419,637,603
370,400,389,106,396,526,646,441,617,615
362,387,389,100,393,524,654,441,623,610
349,370,380,110,384,518,657,422,633,603
350,372,383,112,388,521,660,421,636,603
346,364,380,113,386,516,659,416,635,602
348,365,381,110,388,517,658,411,636,602
353,370,383,119,392,517,655,400,635,601
351,372,383,107,392,516,654,399,637,603
356,375,385,118,394,517,654,402,635,603
357,376,385,116,392,518,654,406,635,602
371,369,386,111,397,521,655,403,634,604
369,358,392,116,406,519,655,406,633,604
348,347,378,117,397,518,658,406,634,600
351,353,383,119,400,523,662,402,639,602
351,353,383,113,397,517,658,389,636,598
353,355,384,119,396,518,659,395,637,599
354,354,384,116,397,519,659,395,638,600
355,354,384,119,398,518,661,392,635,597
370,359,416,99,426,530,634,433,605,610
422,395,466,224,444,534,619,444,589,614
430,415,478,235,475,534,610,426,580,601
427,416,472,229,464,530,612,432,587,603
428,411,464,222,456,525,625,422,597,598
421,400,463,228,460,524,627,417,598,598
420,380,459,232,459,517,627,425,599,597
420,374,456,230,459,520,629,431,611,600
421,377,452,226,463,520,628,427,615,603
419,429,443,224,479,509,610,397,621,615
420,507,458,201,505,516,604,427,625,633
474,492,463,216,503,520,610,435,625,629
470,492,466,223,503,518,615,437,628,627
471,492,464,229,507,515,607,433,630,629
473,493,465,231,506,516,609,438,631,629
472,492,465,225,506,516,609,438,631,630
473,492,463,226,507,516,610,440,631,629
472,493,460,229,508,517,612,441,632,629
