Sensor1,Sensor2,Sensor3,Sensor4,Sensor5,Sensor6,Sensor7,Sensor8,Sensor9,Sensor10
465,261,537,182,304,695,646,598,236,368
462,260,539,177,307,701,639,583,229,372
469,256,548,167,293,705,654,597,179,358
468,261,544,160,290,702,654,594,211,352
472,268,545,162,293,704,653,592,215,362
474,267,546,166,296,704,652,594,223,365
472,269,545,169,295,706,651,594,217,361
472,273,544,179,301,705,651,591,221,367
476,274,540,166,297,699,648,587,240,369
479,277,543,170,301,701,650,588,244,373
476,276,538,174,310,698,648,589,244,373
477,276,540,174,310,700,648,588,237,369
476,276,539,176,310,700,649,589,243,373
474,274,538,173,308,701,647,588,231,367
477,277,540,178,309,701,649,591,239,370
477,279,542,177,310,703,649,592,233,372
480,281,544,180,315,704,650,592,254,378
475,278,538,179,311,699,649,590,247,376
477,279,541,179,312,701,648,590,253,375
478,279,539,178,316,699,645,591,252,379
478,278,554,170,310,705,647,589,209,365
481,277,556,178,300,712,648,588,178,347
481,276,551,178,303,706,649,593,165,347
481,264,553,177,289,711,651,596,92,305
480,272,549,173,304,709,647,597,153,324
480,273,548,173,305,707,647,596,182,334
482,278,551,180,309,707,648,599,194,340
479,276,546,179,308,706,647,595,190,340
479,274,546,180,311,704,645,594,201,348
479,278,545,179,315,703,646,590,210,353
479,277,546,179,314,705,647,592,209,352
480,276,546,180,313,705,647,593,207,353
478,276,544,175,316,710,641,590,207,357
479,279,546,181,317,705,644,592,219,365
477,276,544,174,315,705,645,590,221,363
478,280,545,179,318,705,645,591,227,362
478,279,545,181,320,706,645,592,233,366
476,277,542,179,318,702,643,589,228,364
479,280,542,185,320,704,646,593,229,367
477,279,541,179,318,703,645,594,234,369
478,281,541,181,318,703,645,596,234,369
476,281,540,181,318,702,643,596,237,373
474,281,538,180,320,702,644,596,252,373
477,281,539,183,318,702,644,596,249,374
476,282,540,184,318,702,644,595,247,373
476,282,541,184,318,703,643,595,241,371
477,278,542,182,320,703,644,594,241,374
476,280,540,182,322,701,642,595,249,375
475,278,540,182,320,703,642,593,245,374
475,275,542,183,320,702,637,593,229,376
479,281,548,185,325,704,638,595,250,382
475,279,546,184,321,703,640,593,251,377
477,280,545,183,322,703,640,592,247,377
479,279,546,180,322,704,640,594,229,376
478,277,545,181,319,703,640,593,232,374
478,278,545,181,320,704,639,594,242,374
478,279,545,182,322,704,639,594,245,376
480,280,548,184,323,705,642,595,238,378
477,280,546,183,324,703,640,594,248,378
478,281,546,183,321,704,640,594,252,379
