Sensor1,Sensor2,Sensor3,Sensor4,Sensor5,Sensor6,Sensor7,Sensor8,Sensor9,Sensor10
437,454,531,155,554,641,465,588,400,625
438,453,532,145,552,639,468,589,404,625
436,452,528,162,549,629,455,585,373,612
430,467,527,165,558,611,457,589,372,600
428,466,529,172,559,611,453,588,372,602
431,447,531,183,552,616,448,588,378,609
439,453,534,189,554,611,436,573,379,606
450,479,537,167,570,601,450,581,388,606
448,474,535,202,557,616,438,567,373,598
441,446,535,177,546,623,445,571,381,608
444,454,535,177,556,614,446,573,381,608
442,458,532,184,561,617,449,574,385,605
442,456,535,190,560,619,451,579,389,610
442,458,535,189,562,620,458,581,393,612
444,463,537,191,566,622,460,582,394,613
442,462,535,191,565,619,457,580,393,612
440,461,532,185,564,621,457,581,394,613
438,461,530,181,564,623,456,581,392,614
435,457,529,183,562,621,453,579,390,612
439,462,534,182,565,624,459,582,396,613
438,461,531,186,565,624,461,584,395,613
440,462,532,183,566,626,462,585,397,614
439,460,531,185,565,623,460,583,396,613
436,461,531,175,565,625,459,583,396,612
439,462,535,187,565,625,461,584,400,614
439,464,532,180,565,625,461,585,399,614
437,460,535,176,565,624,463,585,401,615
436,460,532,181,565,624,464,585,400,614
437,461,531,176,565,623,463,586,400,615
434,459,532,175,565,621,463,586,404,615
430,457,531,154,563,623,462,586,403,616
436,458,539,190,567,631,469,592,406,619
433,423,534,186,552,630,463,590,404,621
433,439,534,185,555,631,465,589,405,620
432,443,534,179,558,631,463,589,404,619
429,442,528,173,558,621,451,581,395,615
434,452,532,170,563,615,432,575,380,603
433,454,531,174,562,615,447,578,394,606
440,459,534,176,566,613,457,582,399,608
444,461,538,190,566,615,440,574,381,598
445,474,542,185,567,609,428,567,367,581
451,497,541,173,569,599,426,564,363,570
449,487,539,174,566,599,427,566,369,580
438,466,526,181,561,615,443,575,390,602
436,464,530,184,560,617,450,578,390,606
441,465,532,187,564,618,456,579,396,608
439,464,531,184,563,619,453,577,394,608
445,465,535,183,564,617,455,579,398,610
449,465,537,181,565,617,457,579,398,608
453,465,540,144,563,607,447,576,392,606
452,465,540,128,564,608,456,581,397,611
450,465,535,114,565,608,460,587,407,621
449,465,534,112,566,611,463,590,409,623
448,464,535,111,567,614,463,591,410,626
447,464,533,112,567,613,464,593,412,629
449,466,534,110,569,615,474,595,417,632
447,463,535,111,568,614,477,594,416,631
446,464,535,115,568,616,465,595,415,630
447,465,535,115,567,616,474,595,416,630
444,463,533,118,566,614,471,591,414,630
448,466,535,120,569,616,478,595,418,630
449,466,536,121,569,617,477,594,418,629
