Sensor1,Sensor2,Sensor3,Sensor4,Sensor5,Sensor6,Sensor7,Sensor8,Sensor9,Sensor10
383,409,463,158,491,565,535,589,490,535
379,408,462,165,490,567,535,589,491,536
375,405,462,162,488,567,534,591,489,537
375,406,461,160,489,566,533,592,488,537
375,407,462,165,490,567,533,592,490,539
380,409,462,161,489,564,537,592,494,538
381,408,462,149,492,562,539,596,495,537
376,408,458,154,491,561,538,599,495,541
374,408,458,158,492,564,536,598,495,540
375,407,455,155,490,564,535,598,496,541
377,408,456,160,488,564,536,600,496,541
380,410,459,152,489,564,537,599,497,538
377,409,457,154,488,565,536,599,496,540
374,407,456,157,486,569,536,600,497,541
373,407,456,159,486,571,535,601,495,540
374,408,457,161,488,570,536,601,497,539
374,410,458,162,488,569,539,602,498,538
377,409,458,161,489,566,539,601,497,537
374,409,456,162,488,570,538,603,498,539
373,405,456,159,488,572,536,604,495,539
373,404,457,160,489,572,538,603,497,541
375,408,456,167,489,571,541,602,499,540
374,408,457,165,490,569,541,602,499,539
375,408,457,169,488,569,538,602,497,538
373,404,458,170,486,572,537,604,497,539
372,403,457,161,487,573,536,604,494,540
374,406,457,172,488,573,537,604,497,542
373,408,459,159,490,570,539,603,499,543
379,408,460,164,490,567,540,602,501,541
373,408,458,165,489,570,540,603,499,542
373,404,456,164,488,571,535,604,498,545
371,404,456,165,488,573,530,604,497,544
374,406,458,171,488,571,531,605,500,543
379,409,460,162,489,569,533,603,502,541
380,408,459,161,490,570,535,605,501,540
375,407,458,159,491,569,531,603,500,542
373,405,457,159,489,571,528,604,498,543
372,402,457,154,489,572,527,604,499,545
374,403,458,168,489,572,528,603,500,545
372,405,457,165,489,572,528,603,498,545
377,408,459,168,489,572,528,604,501,544
378,409,458,165,490,571,529,603,503,542
376,407,459,159,489,571,528,604,501,544
374,405,458,160,489,572,526,604,500,546
373,404,457,168,488,573,526,604,497,545
377,408,459,173,489,571,527,605,501,545
380,408,460,168,491,567,530,603,502,543
379,408,460,171,490,567,527,604,502,543
377,407,460,170,489,570,524,606,501,544
375,407,458,170,489,571,524,604,501,544
373,405,459,173,489,571,524,605,498,544
377,407,461,172,491,570,527,604,503,543
380,408,461,170,491,568,528,604,502,543
376,407,460,173,491,569,527,604,501,543
376,407,459,174,490,570,525,604,500,544
375,407,458,172,490,571,527,604,499,545
376,409,459,176,493,572,529,603,502,547
377,408,460,176,494,572,532,605,502,546
378,410,460,178,493,574,533,607,502,545
375,408,458,173,493,572,530,607,502,546
376,409,458,175,493,574,530,606,503,546
376,410,458,177,494,575,529,605,502,546
377,410,459,179,493,572,532,607,503,546
382,412,461,173,493,572,534,607,504,544
380,409,461,179,493,574,532,607,503,544
379,409,460,181,494,573,531,606,502,546
376,409,460,181,493,575,530,605,501,546
378,410,460,183,494,574,529,607,502,547
382,411,461,180,494,571,532,607,504,546
381,412,461,179,493,571,532,607,503,543
380,410,460,182,493,573,529,607,502,544
378,409,460,182,489,572,528,606,500,539
381,411,460,181,490,572,528,606,502,541
382,410,461,182,492,572,531,605,503,540
383,410,462,175,491,570,532,608,505,540
382,411,461,173,491,570,533,606,505,542
379,409,461,173,490,573,529,606,502,543
378,405,461,178,486,573,527,604,500,539
380,405,461,177,487,571,527,602,499,540
377,404,461,180,487,572,525,603,499,541
377,404,461,180,488,573,526,604,499,540
380,407,462,173,490,572,531,605,504,540
378,405,461,168,488,570,530,606,503,540
380,403,463,170,482,574,529,605,500,538
378,400,463,172,480,575,526,605,499,536
380,404,464,172,484,575,529,606,502,538
382,405,465,165,484,574,531,606,504,537
380,404,464,167,484,574,529,607,504,537
379,404,461,171,483,575,527,605,503,538
377,403,462,169,485,576,526,605,501,539
377,402,461,171,485,576,525,605,501,540
379,404,464,172,486,576,528,606,506,540
382,407,464,163,487,575,530,607,507,540
379,405,463,166,486,574,527,607,506,540
377,403,461,167,485,575,527,606,506,541
375,402,461,168,485,576,525,606,505,542
374,400,460,166,485,576,526,605,504,543
377,403,462,170,486,577,528,606,506,543
379,406,464,162,487,575,530,605,508,540
379,405,462,164,488,574,530,605,508,540
376,403,460,168,485,575,527,605,506,543
374,401,461,166,486,576,526,604,505,544
373,401,460,167,486,577,527,605,504,544
374,402,461,168,486,576,527,605,504,544
378,405,463,165,488,576,529,606,507,541
378,405,462,160,488,574,530,605,507,541
374,402,461,164,486,578,526,606,505,542
374,400,461,165,485,579,525,606,503,545
374,398,461,165,484,579,525,605,505,542
375,402,463,166,486,579,525,606,505,544
378,404,464,163,486,577,528,606,506,541
380,404,464,170,486,575,528,605,507,541
377,402,462,165,485,576,525,606,505,543
375,402,463,165,483,578,525,606,503,542
373,399,462,165,484,579,525,607,505,544
376,404,464,172,487,578,526,607,505,542
381,404,466,171,486,577,528,606,507,541
381,404,463,172,485,575,526,608,505,541
378,400,461,164,485,577,525,606,505,541
376,400,461,168,485,577,524,606,503,541
376,398,461,165,485,578,525,606,503,543
377,401,462,172,486,577,527,607,505,541
380,403,463,175,487,576,529,607,506,543
380,403,462,176,486,576,529,608,505,543
377,400,459,172,485,577,528,607,506,544
376,398,459,166,485,579,528,607,503,544
374,397,459,165,485,580,527,607,504,546
375,398,460,172,485,579,528,608,503,545
378,403,462,173,487,577,531,606,506,545
380,403,462,174,487,576,529,606,507,543
379,402,462,178,486,577,529,608,507,544
377,400,460,178,488,578,528,607,504,544
376,396,459,173,486,579,527,608,503,544
376,397,460,175,487,579,527,606,502,544
378,401,462,178,488,578,529,608,506,544
383,402,464,172,488,577,531,606,507,542
380,401,462,178,489,578,531,608,505,543
379,399,460,180,486,580,530,608,503,543
378,395,460,177,487,580,529,607,503,545
378,394,461,174,487,580,530,607,501,542
379,398,462,179,488,579,531,608,505,542
384,400,463,174,490,577,532,608,506,541
384,401,463,170,488,577,532,606,505,541
381,399,462,175,487,578,531,607,503,541
380,397,460,178,485,579,529,607,502,542
379,396,460,176,486,580,530,607,499,541
381,398,462,174,488,579,531,608,502,542
384,400,464,169,487,578,533,608,505,541
383,401,464,166,487,577,533,608,502,540
381,399,460,171,487,579,531,607,502,542
379,398,461,170,486,579,531,607,501,542
380,398,462,169,486,579,530,607,502,543
383,401,463,171,489,576,533,607,503,541
386,402,463,163,488,574,534,608,504,541
383,402,461,164,488,574,532,608,502,540
381,401,459,168,486,576,531,607,502,542
379,399,459,165,487,577,529,607,500,542
378,399,458,166,486,578,528,606,499,543
379,399,458,166,487,579,531,607,500,542
383,402,460,172,488,577,531,607,502,542
385,403,462,162,489,576,532,607,503,541
381,402,460,165,487,579,532,608,501,542
380,400,460,168,486,578,531,607,499,543
379,400,459,171,487,579,531,606,499,544
379,398,459,171,487,581,529,607,500,543
381,402,458,173,490,581,527,602,499,545
387,403,462,168,489,578,524,593,490,541
388,404,463,160,491,577,528,598,497,541
387,405,462,155,490,577,528,599,496,540
383,404,460,167,490,579,526,601,497,544
382,404,458,168,490,580,527,600,496,544
382,400,461,161,487,582,528,600,495,538
383,399,467,147,493,595,521,596,479,534
369,397,469,125,504,608,483,553,443,531
369,404,462,140,524,538,454,538,424,557
373,404,461,153,526,566,444,511,415,551
368,403,466,163,519,576,462,540,440,502
371,404,457,161,530,556,461,539,450,510
366,377,463,146,508,596,471,546,457,522
363,363,458,141,506,599,472,547,460,528
358,350,461,108,502,608,477,549,457,523
360,346,461,77,503,613,479,551,457,525
363,359,458,142,505,611,479,547,456,520
367,363,462,136,505,616,477,541,459,525
370,366,462,119,507,618,477,544,463,524
369,366,462,120,506,606,480,551,468,525
368,369,464,148,504,609,486,556,466,520
368,372,462,152,507,610,487,560,470,524
369,367,462,152,504,613,489,565,470,524
373,370,460,152,507,610,490,567,472,520
366,372,461,144,504,612,490,568,472,520
366,367,463,154,503,603,493,572,473,517
364,366,461,145,503,612,488,569,472,521
363,366,463,134,502,616,489,571,465,524
364,368,467,150,505,617,495,580,470,525
361,361,466,147,502,620,498,581,469,524
363,368,464,152,503,617,495,579,464,520
361,366,467,143,504,617,497,581,469,524
355,360,462,97,496,623,486,565,459,528
360,364,464,123,495,618,490,573,465,526
360,367,457,133,498,613,485,567,463,534
365,374,458,165,491,605,492,575,469,516
373,394,456,174,499,565,507,592,476,509
386,403,457,159,503,557,515,596,483,516
395,411,519,202,528,552,490,552,477,498
402,418,485,212,530,498,509,595,489,489
387,412,454,184,480,536,520,613,496,507
387,405,446,183,483,548,525,617,498,517
389,403,450,153,483,554,531,621,502,520
386,402,449,162,482,560,534,622,504,522
383,405,448,167,481,558,533,620,503,520
387,406,450,154,480,556,533,618,504,521
385,405,448,157,480,557,533,618,503,522
381,405,448,167,482,560,527,616,501,522
387,407,451,155,482,560,530,614,503,522
385,408,452,156,482,560,532,615,506,522
386,407,452,160,484,559,533,616,505,523
385,407,451,159,481,559,532,616,505,522
386,407,451,160,483,561,534,616,505,523
386,408,452,161,484,560,534,617,506,524
386,406,452,162,484,561,533,617,505,524
385,405,450,160,483,562,531,617,504,524
387,405,452,165,484,564,533,618,506,526
388,407,454,159,483,563,536,616,507,524
389,408,454,163,484,562,535,617,506,525
387,408,454,167,485,562,536,618,507,525
387,408,452,164,484,561,535,618,506,525
387,408,453,167,486,561,536,618,507,526
388,407,453,169,485,560,535,617,506,526
389,407,454,159,487,563,535,618,507,526
386,407,454,167,488,564,534,618,508,528
378,409,450,183,488,561,534,619,506,528
383,413,447,197,490,554,532,618,503,527
378,401,454,174,489,565,537,620,508,531
390,404,455,210,487,563,539,618,507,526
383,400,455,180,491,570,524,611,496,528
382,397,462,182,488,577,518,606,487,525
375,383,462,175,486,580,513,604,482,525
370,382,463,183,487,582,510,602,479,523
375,384,464,186,488,587,503,592,475,523
370,382,464,177,488,588,510,600,477,526
372,383,463,177,488,581,510,603,482,524
375,384,467,187,488,590,506,596,476,522
373,379,468,169,484,593,508,600,480,525
376,382,470,186,482,597,498,575,469,507
380,392,467,204,491,580,499,577,463,509
375,388,466,187,492,585,510,596,475,523
380,396,462,196,493,574,505,590,474,519
381,395,459,198,482,570,520,616,494,521
377,396,454,186,487,566,526,624,503,524
