Sensor1,Sensor2,Sensor3,Sensor4,Sensor5,Sensor6,Sensor7,Sensor8,Sensor9,Sensor10
529,615,658,530,602,0,11,8,9,8
533,637,627,513,571,0,10,8,8,8
540,625,626,486,607,0,10,8,8,8
515,610,667,514,654,0,10,10,11,9
505,614,670,518,666,0,10,10,9,10
503,614,671,522,672,0,11,9,9,9
506,612,672,522,670,0,11,9,10,9
505,614,672,524,672,0,11,10,10,9
507,613,672,520,671,0,11,9,10,10
506,609,674,522,672,0,12,11,10,9
507,611,675,526,669,0,12,9,9,10
509,611,674,526,666,0,12,10,9,9
508,610,674,526,666,0,11,11,9,9
509,611,672,530,667,0,11,9,9,9
510,611,673,529,667,0,12,10,9,9
510,610,673,526,667,0,12,9,9,9
510,609,674,528,665,0,11,9,9,10
510,608,674,529,665,0,11,9,9,10
511,610,673,531,665,0,10,10,9,9
511,607,675,529,662,0,10,10,10,9
509,607,674,533,665,0,11,9,9,10
509,605,675,532,664,0,12,11,10,9
507,605,677,532,665,0,11,9,10,10
508,607,676,534,665,0,10,9,9,10
509,608,676,533,663,0,11,9,9,10
509,606,675,534,662,0,10,10,11,10
509,606,674,535,662,0,11,9,10,10
511,606,676,532,656,0,10,10,9,9
511,607,675,536,661,0,11,10,11,10
511,605,675,535,660,0,11,10,9,10
511,606,675,538,661,0,11,10,9,9
512,604,676,540,657,0,11,9,9,10
513,605,676,539,657,0,11,10,9,9
514,606,675,538,658,0,10,9,10,9
514,607,674,540,660,0,12,9,10,10
514,601,676,534,651,0,12,9,9,9
514,603,676,535,656,0,10,9,9,9
513,601,676,535,659,0,11,9,10,9
514,600,677,528,653,0,10,9,11,9
513,605,677,533,662,0,11,9,10,9
506,596,682,529,660,0,12,10,11,10
506,597,683,530,660,0,10,10,9,10
509,600,680,534,661,0,11,10,9,10
509,600,684,528,662,0,11,9,9,10
508,600,683,534,663,0,11,10,9,9
507,599,683,537,663,0,13,9,10,9
506,597,684,538,663,0,11,9,9,10
508,596,683,540,660,0,12,10,9,10
507,601,681,538,663,0,12,10,9,11
507,601,682,540,663,0,12,10,9,10
508,601,684,539,665,0,11,10,9,10
505,601,683,540,665,0,11,9,10,10
506,602,683,542,664,0,11,10,10,9
507,602,683,541,665,0,12,10,10,10
506,604,680,539,667,0,10,10,9,10
507,603,684,540,664,0,13,10,9,9
503,602,683,540,668,0,11,10,10,10
506,602,683,543,664,0,12,10,10,11
504,603,685,541,668,0,11,10,9,9
504,602,687,541,668,0,12,9,10,9
505,603,684,542,668,0,11,10,10,10
504,602,685,542,668,0,12,10,10,10
504,602,685,543,667,0,11,9,9,10
504,602,684,544,666,0,11,11,10,10
500,603,684,541,674,0,11,10,10,10
501,604,686,542,673,0,12,9,9,10
501,603,685,543,674,0,10,9,8,9
501,603,685,543,669,0,12,10,10,10
503,603,684,546,668,0,10,9,10,10
503,604,684,545,670,1,10,10,10,9
504,603,685,544,669,0,12,9,10,9
503,604,685,545,670,0,11,11,10,10
504,603,684,545,670,0,12,9,10,10
504,602,685,547,668,0,12,9,9,11
505,603,685,546,666,0,12,10,10,10
505,602,684,545,668,0,12,10,9,9
506,605,684,548,667,0,11,10,11,11
506,602,685,548,669,0,12,11,10,10
507,603,685,549,666,0,12,10,10,10
506,604,685,547,669,0,11,9,10,9
507,604,686,550,669,0,12,11,9,9
506,604,685,549,667,0,12,10,9,9
506,605,684,550,668,0,10,9,11,10
507,604,684,545,666,0,11,10,10,9
507,603,685,546,664,0,11,10,9,10
505,602,686,548,669,0,10,9,10,10
506,602,688,547,669,0,11,10,9,10
506,600,687,548,671,0,12,10,10,10
506,602,687,548,671,0,10,9,9,9
508,601,686,544,667,0,11,9,10,10
508,603,684,545,668,0,11,10,9,10
509,603,682,549,669,0,12,9,10,9
508,604,683,550,669,0,11,9,11,11
510,603,685,546,669,0,11,10,10,10
509,603,684,547,671,0,13,10,10,9
509,603,685,545,670,0,11,11,10,10
508,603,684,548,669,0,11,10,10,10
509,601,682,542,664,0,12,10,9,9
512,602,680,529,656,0,12,10,10,10
512,602,678,532,658,0,11,10,10,10
512,601,680,532,659,0,12,8,10,9
512,601,682,534,660,0,11,10,10,10
513,602,675,536,659,0,11,9,9,9
511,603,682,537,663,0,11,10,9,10
511,604,682,535,663,0,11,10,9,9
512,604,682,536,664,0,12,10,10,10
513,603,683,537,663,0,10,9,9,10
512,605,680,539,664,0,12,10,10,9
512,605,682,540,665,0,11,10,10,9
513,603,683,540,663,0,10,10,10,10
513,604,683,540,666,0,11,10,10,10
512,605,682,540,667,0,11,10,10,8
513,603,683,542,662,0,13,11,11,9
512,606,681,541,668,0,12,10,10,9
512,606,682,540,668,0,12,12,10,10
512,605,682,541,668,0,12,10,9,10
508,607,670,535,666,0,12,10,10,10
510,607,669,535,661,0,11,11,10,11
504,605,662,516,653,0,11,10,10,10
494,605,681,524,663,0,10,9,10,10
495,600,679,531,665,0,11,10,10,11
499,597,682,527,655,0,11,9,10,9
507,599,682,530,649,0,11,9,10,10
506,600,686,531,660,0,11,9,10,9
502,606,683,531,663,0,11,10,9,9
502,609,673,530,666,0,10,10,9,9
508,612,661,529,674,0,11,9,10,9
503,611,684,525,675,0,12,10,10,9
509,613,668,527,682,0,12,9,9,9
515,613,674,526,677,0,11,9,10,9
514,613,678,531,675,0,11,10,10,10
513,613,682,534,676,0,11,9,9,9
513,613,684,537,678,0,11,10,10,10
513,614,681,537,680,0,11,10,9,9
514,614,682,537,680,0,11,10,10,11
513,615,681,537,681,0,12,9,11,10
512,613,681,537,680,0,11,10,10,9
511,614,681,536,682,0,12,10,10,11
513,614,681,538,679,0,12,10,9,9
513,615,680,537,682,0,11,9,10,9
513,613,682,537,681,0,12,10,10,10
514,613,681,538,681,0,11,10,10,10
513,614,682,539,680,0,12,10,9,10
513,614,681,539,681,0,11,10,9,9
513,613,681,540,681,0,12,10,10,10
513,613,681,537,681,0,11,9,10,9
513,613,681,538,682,0,10,9,10,11
514,613,682,537,682,0,11,10,10,9
514,612,682,540,681,0,10,10,11,10
512,612,682,540,682,0,11,11,9,10
513,612,683,538,678,0,13,10,9,9
513,611,685,538,680,0,12,9,10,10
513,613,682,536,682,0,11,9,10,10
513,613,682,540,682,0,10,9,9,9
512,613,682,541,682,0,11,10,10,9
512,611,682,540,681,0,10,9,12,10
509,612,682,537,683,0,11,9,10,10
509,613,682,539,683,0,13,10,10,9
510,612,683,540,680,0,11,11,10,10
511,612,684,541,682,0,13,10,10,10
511,603,690,537,673,0,10,9,9,10
512,606,686,533,677,0,11,9,10,10
512,605,687,534,667,0,11,11,10,10
505,610,681,528,683,0,11,10,10,9
500,600,691,528,678,0,12,10,10,10
519,604,681,525,634,0,11,9,10,9
521,617,663,517,590,0,11,10,9,8
521,615,659,531,636,0,10,9,10,9
520,616,656,533,646,0,11,9,9,9
521,613,664,531,639,0,11,9,10,10
522,613,661,533,640,0,10,8,9,10
522,613,662,529,640,0,10,9,9,8
522,608,673,533,641,0,11,10,9,9
521,607,672,533,645,0,11,8,9,9
522,607,672,534,643,0,10,10,11,10
521,608,672,536,644,0,11,8,9,9
521,609,673,534,645,0,10,9,9,9
521,608,673,535,644,0,11,9,9,11
521,608,674,534,642,0,11,9,8,8
521,608,673,535,646,0,11,10,10,10
521,609,673,534,646,0,11,9,8,9
521,607,674,532,648,1,10,9,10,8
520,608,674,530,650,0,11,9,9,9
521,607,673,527,649,0,11,10,11,10
521,606,675,528,648,0,11,9,10,10
520,604,675,531,652,0,10,9,10,10
520,606,676,529,653,0,12,8,9,9
520,605,675,523,653,0,11,10,8,10
520,603,677,524,651,0,11,10,10,8
520,605,677,520,654,0,10,9,10,10
519,604,677,521,654,0,12,10,10,10
520,605,677,524,654,0,11,9,9,10
519,604,678,520,655,0,11,10,9,10
518,606,677,522,657,0,12,10,10,9
520,607,677,521,654,0,12,10,10,9
521,608,676,529,655,0,11,9,9,9
522,608,675,530,655,0,10,9,9,9
521,608,674,523,650,0,10,10,10,8
521,608,669,515,646,0,10,9,10,9
505,603,675,526,659,0,10,9,11,9
513,603,675,530,657,0,12,10,9,9
514,604,675,530,657,0,11,9,9,9
515,604,674,531,656,0,12,9,9,10
516,605,672,533,657,0,10,9,10,9
518,603,675,530,655,0,11,10,10,9
518,602,675,528,654,0,12,9,11,10
517,603,674,529,657,0,11,9,8,8
517,604,674,530,656,0,11,10,10,9
518,602,675,532,650,0,11,10,10,10
518,605,673,533,655,0,10,9,10,10
517,605,675,533,658,0,10,9,9,10
517,604,676,532,656,0,10,10,11,11
518,604,675,533,656,0,11,9,10,10
519,604,675,535,654,0,10,9,10,9
518,606,673,535,658,0,11,11,9,10
518,606,676,537,658,0,10,9,9,9
515,607,675,534,659,0,11,9,9,9
519,607,675,536,659,0,10,11,9,11
513,607,674,537,660,0,10,9,9,10
519,600,676,534,649,0,10,9,9,9
520,601,676,533,651,0,10,10,9,9
520,603,676,534,655,0,12,9,10,9
519,603,677,536,655,0,11,9,9,9
513,604,677,539,657,0,11,9,10,10
512,604,679,535,663,0,10,10,9,9
512,605,676,538,664,0,12,8,10,10
514,605,679,539,658,0,11,10,10,9
514,607,675,542,659,0,10,9,9,9
514,606,676,544,660,0,11,10,10,9
516,606,677,543,661,0,11,9,9,10
515,606,677,543,660,0,11,9,10,10
513,608,672,544,663,0,12,9,9,10
521,607,676,540,651,0,10,8,9,9
505,611,676,536,670,0,11,10,11,10
507,612,675,533,669,0,11,10,11,9
508,614,662,535,661,0,12,10,10,9
511,612,678,526,669,0,11,10,9,10
514,612,676,535,672,0,10,9,10,10
514,612,675,535,671,0,10,9,9,10
516,611,680,537,670,0,11,11,10,10
516,610,681,537,669,0,11,10,10,11
514,610,679,539,669,0,11,10,10,11
514,608,681,541,668,0,11,9,10,9
513,608,681,541,669,0,10,10,10,9
513,609,681,543,671,0,11,11,10,10
522,609,680,535,666,0,11,10,10,9
513,611,684,526,673,0,11,9,11,10
519,598,678,528,664,0,12,11,11,10
513,599,675,533,670,0,11,10,10,10
520,599,678,541,663,0,11,10,10,10
526,603,681,542,661,0,11,8,9,10
519,606,662,542,670,0,10,9,9,9
519,605,674,546,668,0,11,9,9,10
510,610,678,531,683,0,10,10,11,10
513,611,674,532,685,1,12,10,11,10
513,602,681,537,666,0,10,9,9,9
517,580,662,526,633,0,10,9,9,9
499,545,691,524,645,0,11,9,10,9
509,541,688,527,612,0,11,9,8,10
520,584,683,520,629,0,11,9,9,10
530,594,672,512,559,0,9,9,8,9
524,607,648,518,638,0,11,8,9,11
495,605,655,533,673,0,12,10,9,10
489,598,666,539,683,0,10,9,8,9
499,603,663,540,675,0,12,9,9,9
503,605,661,541,674,0,11,9,10,9
508,609,665,539,622,0,9,9,9,9
513,618,645,535,617,0,10,11,9,9
530,620,630,505,595,0,10,9,9,10
530,608,664,516,663,0,11,10,11,9
529,609,669,524,650,0,10,9,9,10
530,610,673,530,650,0,11,10,9,8
532,613,672,526,650,0,10,10,10,9
530,615,648,526,656,0,11,10,10,9
533,616,654,532,643,0,10,10,10,10
516,617,678,538,676,0,11,9,10,11
512,616,673,543,684,0,12,10,10,10
510,616,675,540,686,0,13,9,10,9
515,617,677,542,684,0,11,10,9,9
513,617,678,543,684,0,11,9,10,9
516,616,679,542,678,0,13,11,10,10
513,617,677,541,686,0,10,9,10,10
513,616,677,544,683,0,11,9,11,9
513,615,678,545,684,0,11,11,10,10
512,615,678,547,684,0,11,9,9,9
512,616,678,547,683,0,12,10,9,9
513,613,678,546,683,0,11,10,9,11
516,611,680,544,676,0,11,10,10,11
515,612,679,545,680,0,10,9,9,10
516,614,680,548,680,0,11,9,9,10
517,614,678,547,679,0,12,10,9,9
514,613,677,546,681,0,12,9,10,10
521,613,675,541,672,0,11,10,10,9
517,614,667,546,682,0,12,11,8,8
518,612,681,542,682,0,10,10,10,9
515,609,678,546,682,0,10,10,10,10
516,607,678,546,680,0,10,10,10,9
516,610,676,550,682,0,11,10,10,10
516,607,678,547,680,0,12,10,9,10
516,610,678,551,681,0,11,10,10,10
517,606,680,548,674,0,11,10,9,10
517,604,682,547,675,0,12,10,10,10
516,604,682,548,677,0,12,10,10,9
511,606,680,546,679,0,12,10,10,10
510,607,680,546,679,0,11,9,9,9
512,602,682,540,676,0,11,10,10,10
508,612,677,537,684,0,11,9,10,10
519,612,677,538,680,0,11,10,10,9
518,612,681,541,681,0,11,10,10,11
516,610,680,546,682,0,11,9,10,12
517,605,683,540,668,0,12,10,9,9
509,603,679,543,675,0,12,10,10,10
512,601,681,542,665,0,11,10,11,10
513,600,683,540,669,0,10,10,9,10
505,603,684,543,682,0,11,9,10,10
511,602,682,542,669,0,12,9,9,10
512,604,681,539,674,0,11,9,9,9
511,602,681,542,672,0,11,10,10,10
511,604,681,539,673,0,11,9,10,10
511,603,681,539,675,0,11,11,10,9
513,602,681,538,671,0,12,9,10,10
513,601,684,539,671,0,11,11,10,11
513,602,682,541,670,0,12,10,9,9
514,604,681,543,671,0,13,10,10,11
513,603,684,544,670,0,11,11,10,11
514,603,685,544,671,0,11,10,10,10
513,604,685,545,675,0,11,10,9,9
515,603,682,541,670,0,12,10,10,10
504,600,683,536,676,0,12,10,10,10
503,600,678,538,670,0,12,10,9,9
506,604,677,538,662,0,10,8,9,9
504,593,687,541,680,0,12,10,11,10
500,594,698,535,679,0,12,10,10,10
507,590,689,536,648,0,11,10,11,9
503,597,675,522,629,0,10,9,9,9
503,594,675,524,619,0,11,10,10,10
507,597,674,527,623,0,11,9,9,10
507,597,678,528,625,0,11,9,10,10
507,595,679,528,620,0,10,10,10,10
509,598,674,530,625,0,11,10,10,10
510,598,679,533,624,0,10,10,9,9
509,599,680,536,627,0,11,10,9,9
509,601,678,534,630,0,11,8,9,9
508,599,683,536,634,0,13,10,10,10
508,599,682,537,636,0,11,9,9,9
509,597,682,536,631,0,10,10,10,10
508,599,682,540,632,0,12,9,8,10
508,601,683,539,635,0,10,9,9,9
511,601,682,539,638,0,11,10,9,9
510,602,682,540,642,0,11,8,9,9
510,603,681,539,640,0,10,10,10,9
511,599,683,539,632,0,11,9,9,8
513,601,682,540,634,0,10,9,9,10
512,601,682,539,634,0,10,10,11,10
512,601,683,539,632,0,10,11,9,10
513,601,682,541,636,0,10,9,9,9
512,602,683,541,634,0,11,9,10,8
513,602,681,542,629,0,12,10,10,10
513,600,681,541,634,0,11,9,10,9
517,601,679,542,632,0,10,10,9,10
524,621,648,534,611,0,10,10,10,9
530,627,660,518,663,0,10,10,9,9
532,617,660,540,664,0,11,10,10,9
519,615,671,524,694,0,12,10,10,10
498,603,695,525,710,0,11,10,10,9
502,606,693,530,710,0,12,11,11,10
501,606,694,531,712,0,12,12,10,10
501,606,691,536,711,0,12,11,10,11
500,609,684,537,712,0,12,10,10,11
500,607,691,534,711,0,12,10,9,9
502,608,686,539,712,0,11,10,10,10
501,608,686,539,711,0,11,10,11,10
502,604,691,538,710,0,12,10,9,11
502,607,686,543,710,0,13,10,10,10
501,606,687,542,712,0,11,10,10,10
500,608,691,537,712,0,12,11,10,10
502,608,690,540,711,0,12,11,11,11
502,608,686,540,710,0,13,10,10,10
502,608,691,541,706,0,11,10,10,10
502,606,690,542,706,0,13,10,9,10
503,606,690,544,705,0,12,10,10,11
503,607,692,545,706,0,12,11,10,10
503,606,692,544,706,0,12,9,11,10
504,607,693,544,705,0,12,10,10,10
504,607,695,547,702,0,11,11,10,10
504,607,696,544,705,0,13,10,11,10
506,609,693,545,702,0,12,11,10,10
506,608,693,545,698,0,12,10,10,9
506,607,691,548,699,0,11,10,9,9
506,607,693,548,697,0,11,10,10,10
507,608,692,549,701,0,11,10,11,11
507,606,693,548,700,0,12,10,10,10
507,608,693,548,703,0,12,10,11,10
505,605,692,550,700,0,12,9,10,11
505,608,692,548,703,0,10,9,9,10
504,608,691,547,704,0,11,9,9,9
505,608,692,547,704,0,12,10,10,9
505,607,691,548,704,0,11,12,10,10
504,607,691,547,705,0,11,10,10,9
503,607,691,547,707,0,10,11,10,10
504,607,691,547,707,0,12,10,10,10
504,608,693,547,707,0,12,11,9,9
504,607,692,545,707,0,11,11,10,10
504,607,693,550,707,0,11,10,10,9
505,608,692,551,702,0,11,9,9,9
505,607,691,549,705,0,12,10,10,10
504,607,692,550,707,0,12,10,10,9
506,609,691,549,706,0,11,10,10,10
506,609,691,550,705,0,12,11,11,11
506,608,692,548,705,0,11,10,11,10
505,608,692,547,708,0,11,11,11,10
504,608,692,545,708,0,12,10,10,10
505,609,692,547,707,0,12,10,9,10
