Sensor1,Sensor2,Sensor3,Sensor4,Sensor5,Sensor6,Sensor7,Sensor8,Sensor9,Sensor10
341,559,386,132,577,314,111,342,450,767
338,558,387,120,579,312,109,343,451,767
339,559,387,123,579,313,112,341,451,765
338,559,388,130,579,311,103,340,451,765
340,560,388,131,578,312,110,340,450,766
341,560,387,130,579,313,107,338,452,766
342,560,381,119,580,317,106,338,450,769
341,560,383,123,580,319,108,339,449,769
341,560,386,124,582,319,106,342,451,767
341,561,388,130,580,320,109,342,451,766
347,560,374,130,580,318,104,338,449,767
350,560,373,128,580,313,100,330,446,768
352,560,375,129,579,312,100,335,446,767
353,561,374,125,580,310,103,337,448,769
353,561,371,122,581,312,106,336,447,769
352,561,373,123,581,313,104,336,447,767
350,560,373,111,579,314,106,339,449,767
345,560,379,115,581,317,109,340,450,767
343,562,381,121,580,316,109,344,450,766
343,560,380,123,583,320,108,345,449,766
343,559,379,121,581,321,107,346,451,766
340,563,384,120,582,320,108,343,451,764
340,563,385,121,583,324,107,344,450,763
341,564,384,122,583,321,109,345,452,762
341,564,385,127,583,322,113,347,452,762
345,563,386,128,582,325,119,344,455,762
344,563,386,128,584,323,110,346,454,763
345,564,387,125,583,322,106,345,455,765
344,562,385,123,583,322,109,347,455,766
345,563,385,126,584,324,111,346,456,766
345,563,383,128,585,324,112,346,455,764
344,565,383,125,584,325,113,346,454,763
345,564,383,125,584,328,109,345,454,763
346,564,383,126,583,324,110,345,456,765
346,566,383,125,584,323,108,344,454,765
344,565,382,120,584,327,117,346,454,763
345,565,384,121,586,325,115,347,455,764
343,565,385,121,585,330,118,348,456,764
343,564,386,114,584,326,115,347,456,763
343,563,386,107,582,325,112,346,457,764
346,555,386,116,578,325,110,345,460,770
345,555,387,123,579,328,115,346,462,769
346,556,389,125,580,328,115,349,462,770
346,556,389,124,579,331,117,351,463,770
346,560,389,124,582,327,114,348,460,766
345,560,389,122,582,324,112,348,459,768
346,562,390,124,582,327,115,347,461,769
346,564,389,125,585,323,115,348,461,761
345,565,391,124,586,325,118,349,460,762
345,562,390,120,585,327,111,346,461,765
345,562,388,116,586,328,116,345,462,766
345,563,391,121,586,330,120,346,460,765
344,563,393,121,587,325,114,347,462,764
345,564,391,125,586,329,116,348,461,764
345,564,390,124,585,326,115,348,461,764
346,563,389,124,585,324,116,348,461,766
346,564,390,126,585,330,121,350,461,765
346,564,393,124,586,326,116,351,462,765
347,564,394,125,587,327,113,352,461,763
347,563,394,126,586,328,119,352,462,765
346,564,395,128,586,329,122,353,463,764
348,563,393,125,586,327,116,352,462,765
347,565,393,123,586,326,115,351,461,764
347,565,394,124,586,330,121,352,462,764
346,566,394,126,588,328,120,353,461,764
347,566,394,126,587,328,123,351,462,763
347,565,392,125,587,330,119,351,463,763
347,555,390,125,585,329,115,350,464,767
348,553,385,122,586,306,109,347,465,766
345,554,385,122,587,301,106,350,467,766
346,555,387,122,587,305,108,350,466,765
346,556,386,122,587,305,105,347,464,763
346,557,386,119,587,308,106,343,463,763
345,557,385,118,587,309,105,342,464,763
347,565,388,120,589,312,110,347,460,760
347,565,390,124,590,312,108,348,460,760
347,566,391,125,589,314,109,349,459,759
346,565,389,122,590,313,104,347,459,759
347,564,389,121,589,313,104,347,459,760
348,564,391,127,589,313,108,347,459,760
347,564,391,125,589,309,110,349,460,759
