Sensor1,Sensor2,Sensor3,Sensor4,Sensor5,Sensor6,Sensor7,Sensor8,Sensor9,Sensor10
521,196,576,276,241,772,811,802,338,192
539,196,587,273,216,773,793,787,283,167
545,199,591,286,210,776,795,780,282,174
549,202,592,285,201,776,789,770,260,163
552,205,595,289,207,777,791,770,273,175
552,210,603,295,213,775,794,767,282,185
561,203,606,295,213,777,792,750,260,161
608,195,628,312,211,776,781,755,255,166
602,199,625,321,223,777,764,776,285,166
543,206,579,313,247,756,769,792,357,252
511,206,556,285,239,746,780,751,345,199
515,188,564,283,241,753,792,775,347,194
503,197,540,265,253,749,787,785,374,224
508,203,543,276,261,742,794,785,390,235
510,202,546,264,236,747,791,775,339,178
510,209,547,270,252,753,795,785,362,209
508,211,544,270,255,753,796,787,372,216
512,207,550,251,232,754,792,780,307,154
514,196,553,222,195,762,786,755,264,121
517,206,556,240,212,765,786,762,276,137
509,215,546,246,242,754,790,777,331,183
510,215,545,249,249,749,796,777,345,194
507,216,546,248,245,744,798,778,358,207
504,188,538,239,250,751,791,778,360,209
515,199,540,247,269,730,791,780,395,267
571,203,584,248,270,741,803,672,395,265
564,217,579,254,279,744,798,695,408,288
550,230,570,258,284,715,808,731,413,309
496,204,519,207,244,715,787,743,400,277
490,167,518,205,197,710,788,739,341,198
478,204,512,215,262,715,779,749,395,283
483,213,517,235,272,707,781,749,405,294
487,211,521,239,269,712,783,749,403,281
484,202,516,237,278,710,784,759,416,310
484,207,517,228,270,700,780,749,410,291
490,219,522,236,275,706,782,747,411,296
492,221,526,240,276,713,784,746,416,300
489,225,522,244,283,707,780,754,424,315
485,224,517,232,284,705,778,753,424,317
485,232,518,235,286,702,779,755,425,317
488,231,520,237,284,704,779,752,427,314
488,221,523,230,253,706,777,754,394,258
482,219,514,222,265,713,771,752,407,276
486,225,519,231,276,704,770,751,414,293
487,229,520,234,279,705,772,754,418,298
487,231,521,232,279,708,774,752,421,300
488,239,520,232,284,706,775,751,424,307
489,240,523,239,284,706,776,751,427,308
491,237,526,240,284,707,775,751,425,308
487,240,520,231,285,708,776,751,430,315
490,233,526,239,283,706,769,751,420,297
516,237,544,254,289,708,776,735,427,310
672,270,664,194,262,724,739,685,414,307
522,256,565,253,283,739,722,745,418,320
449,259,501,185,289,723,744,784,428,336
453,246,492,171,294,721,778,760,431,340
537,205,575,182,258,728,791,782,415,286
489,200,535,221,279,754,788,800,422,303
474,189,513,230,274,740,791,799,419,301
471,200,512,229,284,732,779,792,430,307
474,204,513,238,290,727,782,794,429,314
476,207,514,239,294,728,783,790,429,317
482,214,517,242,298,729,784,793,431,324
482,218,517,239,299,733,779,792,431,324
477,212,514,241,301,729,786,792,437,333
478,218,513,239,301,724,787,789,439,334
476,220,509,234,304,724,789,787,439,335
477,222,509,235,303,720,793,788,439,338
478,222,510,236,304,722,791,792,437,333
479,226,511,241,303,722,789,795,439,338
478,227,510,238,305,723,793,792,440,338
477,228,510,236,307,721,793,792,442,340
482,227,514,237,305,721,793,789,442,339
516,206,551,231,283,726,794,798,425,316
516,200,546,235,296,745,775,811,431,329
477,212,509,221,300,734,788,797,435,329
463,221,499,204,288,726,807,789,436,323
446,227,486,203,301,719,807,793,444,337
448,233,485,201,299,702,805,792,444,330
450,234,488,203,298,704,807,793,437,328
449,237,486,200,299,707,807,790,441,330
456,242,497,213,307,708,808,791,442,347
461,250,501,215,306,708,798,784,447,349
464,236,503,205,305,706,793,793,442,334
463,251,501,217,308,712,804,789,445,339
452,248,491,208,301,709,798,789,442,335
455,249,494,213,309,706,805,787,448,345
454,253,493,211,308,705,805,788,446,339
451,278,498,213,309,706,806,790,441,344
453,373,501,226,296,707,795,807,434,340
458,312,500,214,307,709,767,796,441,350
456,308,500,214,311,707,777,797,442,352
455,308,500,212,312,708,780,798,442,351
456,314,501,211,314,708,782,796,443,353
459,320,504,221,316,709,782,794,443,357
459,322,504,219,315,709,781,796,443,352
460,322,505,219,316,709,782,799,445,352
457,313,499,200,305,709,778,797,425,325
459,319,504,216,310,711,783,796,435,339
459,320,503,220,311,711,783,798,436,338
462,321,505,221,315,710,783,794,438,341
461,322,506,217,312,711,783,793,438,339
462,324,505,217,313,711,784,795,439,340
462,326,505,220,312,711,784,799,438,341
464,327,506,225,313,710,782,797,440,342
463,321,506,217,301,712,784,798,421,315
462,316,507,221,302,714,782,797,423,316
462,318,506,220,303,715,785,796,430,325
457,315,499,195,295,717,784,797,433,324
456,315,489,165,274,715,786,798,432,320
458,320,496,182,290,716,786,797,422,318
459,318,497,194,296,715,783,794,423,320
459,319,498,201,297,715,786,796,426,325
461,319,500,203,299,715,788,796,426,325
461,322,503,211,300,715,786,796,433,329
462,322,505,216,300,715,784,793,435,330
463,323,507,219,301,715,785,791,435,329
464,328,508,221,302,717,784,789,435,335
463,328,507,222,305,716,782,793,431,335
464,329,509,226,306,715,781,794,433,336
465,329,509,229,307,715,784,794,438,339
466,330,509,229,306,715,782,793,439,340
472,327,515,219,302,716,783,793,437,339
476,327,518,218,303,717,767,787,440,345
471,324,515,216,309,718,766,792,443,349
474,329,516,225,314,715,773,791,446,350
476,327,519,230,312,713,772,788,442,342
472,325,516,224,312,718,772,788,441,341
471,333,517,226,315,718,778,793,446,347
476,332,518,224,318,716,776,782,450,352
478,332,520,231,321,717,767,776,451,356
479,334,522,230,319,717,760,779,450,356
481,334,524,239,318,717,764,775,450,360
481,339,523,235,318,717,758,784,448,359
484,330,524,231,317,716,767,762,441,343
485,332,525,240,320,721,757,773,447,352
484,326,524,237,316,720,761,761,442,342
477,326,519,237,320,719,761,789,444,343
478,319,517,228,316,723,771,784,444,336
482,320,515,239,314,716,779,793,438,334
495,320,532,240,301,719,776,771,418,291
502,320,540,251,306,726,773,773,417,309
490,333,536,251,316,732,757,784,436,334
518,326,558,246,315,726,766,766,438,334
513,334,550,256,317,732,743,740,439,336
507,335,542,265,323,730,742,761,447,347
495,333,534,242,324,725,755,753,446,345
499,340,535,249,326,725,761,759,448,351
499,338,535,250,324,721,765,762,449,351
501,339,537,258,325,721,769,763,450,353
501,336,537,257,324,721,767,764,447,347
498,338,536,254,325,724,769,762,449,351
491,341,534,255,324,724,768,762,448,348
476,347,522,255,327,724,769,766,449,357
468,342,521,256,326,722,768,767,445,362
474,342,522,253,328,720,765,767,448,362
475,341,522,254,328,719,767,766,449,362
476,343,523,255,329,718,770,766,449,364
476,347,524,257,329,719,769,766,450,366
477,348,524,260,328,719,770,766,450,363
478,347,526,262,328,719,770,765,450,360
482,334,527,253,324,720,767,774,446,346
479,302,524,237,302,722,768,796,431,311
491,315,535,256,309,724,766,767,421,325
492,329,532,269,315,726,756,788,430,336
486,317,530,254,311,729,751,787,427,323
490,313,532,260,311,728,758,795,422,310
528,270,567,218,247,730,766,760,347,197
546,257,591,220,240,731,773,809,336,199
465,263,517,211,239,765,753,773,321,201
435,275,487,185,253,758,772,789,364,233
439,284,486,177,272,731,779,800,391,287
440,287,490,185,273,702,779,800,397,291
452,291,493,199,280,701,781,801,404,305
456,305,501,206,282,702,780,797,406,312
459,305,505,210,286,703,775,793,407,314
455,303,502,197,283,710,779,792,410,315
463,319,508,214,300,707,783,792,414,339
464,315,509,215,290,704,773,785,416,330
465,314,510,219,292,709,770,789,417,330
466,311,514,223,291,711,776,788,415,325
469,312,516,223,292,712,776,788,413,325
468,310,516,217,289,714,777,781,412,311
466,311,515,215,288,715,777,781,412,314
468,312,517,218,288,715,780,783,403,306
468,307,519,219,277,714,780,776,388,256
462,312,518,223,286,722,778,783,400,294
464,317,518,231,288,724,780,792,402,298
462,299,514,228,286,725,782,800,404,285
454,300,505,220,285,724,782,806,406,288
452,299,504,208,282,717,785,801,395,273
457,302,507,220,290,718,786,800,404,295
460,304,508,222,293,717,785,801,410,304
460,314,508,220,292,718,786,785,412,311
463,319,512,228,296,714,784,790,411,314
464,320,510,221,299,716,784,787,416,319
464,322,510,223,300,715,783,791,417,318
464,322,509,223,301,715,785,792,419,320
458,325,505,211,298,715,784,775,415,320
457,307,505,206,294,706,776,770,405,307
463,300,507,201,296,711,784,793,413,311
468,305,511,213,296,716,787,787,416,317
468,304,514,218,293,715,787,780,406,299
469,303,520,229,285,714,784,793,402,288
450,305,501,213,292,722,783,803,416,307
455,307,507,221,295,721,787,796,416,310
462,304,510,224,294,715,788,806,413,317
464,311,510,228,296,718,792,808,418,320
464,313,508,229,301,720,786,809,418,321
457,316,500,218,304,718,787,810,422,329
455,325,497,241,307,713,789,811,421,374
469,341,519,309,321,700,790,751,438,400
485,363,540,413,351,686,778,783,464,438
470,371,503,302,350,682,748,763,472,444
465,373,503,345,379,682,763,812,500,492
460,378,500,300,369,666,753,811,483,460
485,357,523,288,352,660,704,819,470,433
469,349,511,271,341,667,720,825,455,417
445,336,497,266,342,682,724,836,446,414
473,356,512,362,362,675,726,833,456,421
484,359,522,389,370,672,719,830,462,425
518,407,548,381,362,678,723,816,471,446
561,436,587,418,385,677,726,794,478,471
608,451,616,451,391,690,708,673,448,432
562,405,571,408,372,703,709,779,431,391
542,416,551,368,353,721,636,789,425,375
535,416,554,378,369,695,671,789,432,394
526,416,550,356,375,691,678,791,436,404
527,425,554,353,385,689,678,785,440,408
529,429,553,357,386,687,684,780,443,411
529,447,555,391,393,691,681,785,457,440
531,448,556,390,400,694,694,780,460,427
533,449,557,393,401,686,679,783,461,427
532,449,557,392,402,693,693,785,457,426
533,450,558,393,402,693,699,784,462,429
533,450,559,396,405,693,700,783,462,431
534,451,558,395,404,693,698,783,463,433
534,451,560,392,403,694,698,781,462,431
535,450,560,390,403,693,700,783,461,428
536,450,560,390,403,695,702,785,462,428
537,450,562,394,406,696,704,783,464,430
539,451,562,395,406,697,704,783,465,429
539,450,562,395,406,698,705,784,465,429
541,451,564,397,408,697,704,778,464,430
541,451,563,389,405,696,704,776,466,430
541,454,559,387,409,697,704,781,463,436
545,454,561,390,410,698,707,778,463,435
548,453,562,393,408,691,699,779,460,432
550,454,562,393,408,690,703,779,465,433
553,452,563,398,408,692,703,778,461,428
553,450,564,399,408,691,705,778,465,430
555,451,564,399,409,693,705,778,465,431
554,447,564,396,404,695,706,778,465,428
556,446,566,395,400,693,704,773,465,423
557,447,569,398,401,694,704,770,467,424
558,446,570,397,400,698,701,773,463,424
557,454,566,394,407,697,703,767,465,433
559,452,568,397,405,696,702,764,461,431
560,450,567,398,404,689,697,762,460,429
561,449,569,400,405,689,698,761,462,431
561,450,569,397,404,690,701,762,462,430
561,450,569,397,404,692,703,757,464,430
561,453,571,398,401,692,702,757,464,428
561,450,572,395,402,694,702,754,454,425
568,422,575,379,401,694,704,772,457,425
575,425,580,383,389,693,703,740,449,400
575,442,578,389,404,695,697,708,456,422
577,442,581,394,402,700,708,700,455,423
579,447,582,399,406,690,683,676,456,423
581,453,585,398,407,692,695,728,457,430
580,427,581,369,363,692,687,699,434,386
539,426,555,279,346,695,673,738,426,384
530,425,555,275,357,693,693,745,432,401
540,424,560,270,352,698,690,741,435,391
541,427,563,276,357,698,687,739,441,398
543,425,563,276,355,699,691,739,445,395
544,424,565,277,355,701,692,739,446,396
547,421,566,276,350,701,692,740,445,390
548,421,566,277,350,701,693,744,437,384
551,421,565,281,353,701,694,745,439,388
551,425,567,284,365,702,695,742,440,402
540,459,567,349,399,701,694,738,445,416
552,440,574,350,383,699,694,744,449,408
566,435,585,365,369,696,691,693,436,382
643,335,657,375,310,701,717,740,410,339
649,340,651,386,310,704,711,661,406,323
569,377,597,403,352,743,691,679,414,375
574,392,586,418,394,745,680,734,461,431
585,389,601,414,379,730,724,726,436,393
614,390,632,425,372,700,701,678,434,385
640,386,647,431,361,709,725,649,430,360
664,377,660,424,357,713,721,620,439,369
647,378,646,430,376,724,714,664,453,410
650,386,650,436,382,720,656,675,456,414
647,384,653,430,361,709,624,690,436,371
587,395,609,417,345,711,628,707,397,305
543,287,589,395,322,717,653,725,382,293
553,200,590,385,319,728,717,761,433,354
571,192,597,394,320,736,742,767,446,358
549,183,589,387,312,729,753,762,434,330
538,126,581,380,317,724,702,789,458,366
530,61,574,330,282,731,732,795,462,371
535,57,575,323,278,725,734,795,468,381
517,56,568,272,274,719,735,802,465,376
457,46,540,239,259,715,727,817,462,352
442,51,524,220,253,718,726,820,467,353
441,66,506,243,278,719,740,817,477,408
407,78,492,241,309,716,750,806,515,479
410,101,481,254,355,681,740,777,552,544
482,123,535,272,361,672,753,761,539,536
474,134,521,305,364,647,705,782,534,512
568,94,605,230,254,687,705,816,441,381
581,89,611,245,269,669,726,830,436,369
562,101,597,254,282,721,711,822,442,377
559,90,599,249,272,732,686,843,441,367
528,103,577,284,304,722,707,849,461,407
