Sensor1,Sensor2,Sensor3,Sensor4,Sensor5,Sensor6,Sensor7,Sensor8,Sensor9,Sensor10
347,146,497,0,476,817,601,672,613,756
348,153,500,0,501,787,583,679,614,746
369,204,516,0,506,796,555,660,600,758
405,168,558,0,479,799,612,627,604,754
421,211,541,0,485,803,585,660,590,753
405,215,526,0,481,807,602,669,603,755
413,216,520,0,485,795,590,683,606,756
418,220,522,0,476,801,572,662,584,742
393,224,504,0,476,798,582,683,610,749
386,223,494,0,479,795,582,686,613,752
389,218,501,0,476,800,589,668,616,759
386,213,498,0,477,814,607,650,613,756
390,211,506,0,477,811,604,660,616,756
395,226,504,0,485,796,597,673,616,756
393,207,514,0,474,797,602,614,611,771
385,212,501,0,480,817,617,619,610,758
415,208,528,0,475,797,614,638,608,761
379,230,500,0,501,774,600,619,596,733
355,247,489,0,507,797,603,626,600,753
388,246,506,0,489,797,600,642,606,747
404,240,518,0,482,797,616,607,605,761
379,216,495,0,482,808,624,592,591,754
396,216,513,0,473,811,626,591,590,751
407,233,524,0,478,805,620,596,602,758
400,246,516,0,475,805,621,601,603,755
409,246,520,0,477,808,624,604,602,752
404,254,516,0,478,808,625,605,604,755
408,257,519,0,481,809,627,607,607,757
401,243,514,0,478,806,628,606,613,758
406,229,520,0,475,811,631,603,603,758
411,231,522,0,477,812,632,604,605,758
409,232,520,0,477,810,630,603,605,758
405,233,522,0,476,810,624,604,602,766
397,228,518,0,477,805,626,603,602,767
402,227,519,0,479,807,630,600,603,766
413,233,527,0,478,806,630,601,601,761
398,223,514,0,481,804,632,598,597,763
413,227,528,0,476,808,640,602,601,757
440,209,579,0,462,770,637,592,557,732
510,217,591,1,496,759,622,594,562,719
491,239,575,3,489,778,610,584,520,700
504,265,573,0,492,726,585,575,535,692
445,274,584,0,503,761,634,594,540,705
423,245,585,0,473,771,652,595,516,689
457,318,581,0,485,764,640,591,519,669
421,323,551,0,505,751,627,581,564,726
426,333,551,0,507,750,628,584,562,719
440,350,572,0,499,750,630,577,537,686
482,352,569,0,505,732,617,577,544,683
485,356,568,0,514,732,622,585,555,694
486,357,569,0,515,736,626,588,559,699
477,351,566,0,516,740,633,590,569,708
478,334,566,0,514,745,636,590,573,712
475,321,566,0,514,747,639,592,576,715
479,313,567,0,514,744,638,593,576,717
479,311,567,0,514,744,639,593,576,718
485,291,570,0,508,750,643,594,574,712
484,288,569,0,509,748,643,594,577,716
480,290,568,0,510,748,643,594,579,718
479,288,568,0,510,749,643,595,580,719
475,283,566,0,510,748,646,595,581,721
476,274,568,0,511,752,648,599,585,729
471,275,566,0,508,752,646,597,582,726
473,275,561,0,510,747,645,597,583,730
467,278,561,0,511,748,646,597,584,731
470,269,563,0,509,753,648,598,585,731
471,273,562,0,511,754,646,598,585,732
