Sensor1,Sensor2,Sensor3,Sensor4,Sensor5,Sensor6,Sensor7,Sensor8,Sensor9,Sensor10
458,541,459,388,515,547,570,590,483,618
456,541,458,384,514,546,569,590,483,619
457,541,459,387,514,547,570,590,484,618
460,543,459,387,515,547,571,590,486,619
459,542,459,389,513,548,570,590,486,617
457,540,459,388,513,547,570,590,483,618
459,541,459,387,513,548,571,590,485,618
459,542,460,389,513,548,570,591,487,618
461,543,460,389,514,548,570,590,488,618
457,542,461,390,513,549,570,590,486,618
457,541,461,390,512,548,571,589,485,618
458,542,460,392,513,547,572,590,486,618
462,544,462,388,514,548,571,591,487,617
459,544,461,391,514,548,571,591,487,617
456,542,460,391,512,548,572,590,485,618
456,542,461,390,512,548,572,591,485,618
458,543,461,393,513,548,572,591,487,618
460,543,460,394,514,549,570,590,487,618
459,541,461,394,513,548,571,590,485,618
457,541,461,394,512,548,571,590,486,618
460,544,463,394,514,548,570,590,488,617
461,543,463,394,514,548,571,590,486,616
459,539,462,392,512,549,570,588,485,616
459,539,461,393,513,550,571,589,485,617
460,541,464,393,514,550,572,590,487,617
458,542,461,394,513,549,571,588,488,617
456,539,460,391,512,550,571,588,487,618
455,540,461,392,513,551,572,589,486,617
458,542,463,394,514,550,571,589,488,617
461,543,463,395,514,549,572,591,487,618
458,542,462,393,512,549,571,589,487,618
459,541,462,390,513,550,571,588,485,616
460,543,462,396,514,550,572,588,487,619
462,544,462,397,515,548,571,589,488,617
460,543,462,393,512,552,571,588,486,618
459,541,462,394,513,550,571,588,486,619
459,541,462,395,512,550,570,587,487,620
462,542,464,399,514,550,571,587,487,620
460,543,463,398,513,550,570,587,487,619
460,543,463,397,514,550,571,587,487,619
459,542,462,395,512,550,570,587,487,619
460,541,462,393,513,549,570,587,486,620
459,544,463,395,513,550,571,588,488,620
462,545,463,393,515,548,570,587,488,620
461,543,462,394,512,550,569,586,487,619
459,542,463,394,512,550,569,587,485,619
459,542,461,393,512,549,568,588,485,621
462,544,463,395,514,550,569,589,487,621
463,545,464,392,515,549,569,589,489,622
461,543,462,395,514,549,570,588,488,621
456,544,462,395,512,550,569,589,486,622
457,543,463,396,512,549,569,589,486,622
460,544,464,397,515,550,570,589,487,622
461,545,464,397,516,548,569,588,488,621
457,544,462,396,514,549,569,589,485,622
458,542,463,393,514,549,568,590,484,621
