Sensor1,Sensor2,Sensor3,Sensor4,Sensor5,Sensor6,Sensor7,Sensor8,Sensor9,Sensor10
423,464,547,366,502,744,533,452,529,797
422,465,547,368,503,744,536,452,530,796
422,465,547,368,505,745,535,453,530,796
425,466,547,365,505,744,535,454,529,797
423,465,547,370,505,745,536,454,530,797
423,465,547,365,505,744,534,453,531,796
421,463,545,363,501,746,532,452,529,797
416,462,544,362,501,745,532,448,526,797
417,464,545,366,502,745,532,450,529,797
421,464,547,367,504,745,534,454,531,796
421,464,546,368,503,745,531,453,530,798
416,463,545,366,500,745,531,450,526,797
414,463,543,364,499,745,529,449,526,798
416,460,543,364,500,745,529,447,526,798
416,462,544,367,501,745,531,451,527,799
418,464,546,369,503,745,532,453,528,798
419,465,546,370,503,746,533,453,529,798
424,464,546,370,503,746,533,455,529,798
422,464,545,368,501,746,530,451,527,799
416,460,544,366,499,746,529,449,526,799
418,460,544,366,499,745,530,447,526,799
418,462,546,369,502,746,533,451,528,800
419,463,545,371,503,745,533,452,530,800
421,464,546,372,503,745,534,453,529,799
420,463,544,369,500,746,532,448,526,799
418,461,544,369,500,746,532,448,526,800
418,457,543,369,499,747,535,449,526,800
419,461,544,371,501,745,537,451,528,799
420,463,546,371,502,745,534,455,530,800
421,463,546,368,501,747,534,453,529,800
420,460,545,368,501,746,535,454,528,799
420,461,545,365,503,746,535,453,529,799
417,455,543,364,501,746,532,447,526,800
420,458,546,369,504,747,535,453,528,799
421,464,546,370,505,745,535,453,530,798
421,464,544,372,504,747,534,452,529,800
418,457,543,369,501,747,533,450,528,799
417,456,544,368,502,746,536,451,529,800
414,455,542,368,500,748,533,451,528,800
417,456,544,372,502,746,535,452,529,799
418,458,545,372,503,747,536,453,530,800
418,458,544,374,503,747,535,452,529,799
416,455,542,370,500,746,535,453,529,800
414,455,543,371,501,746,535,453,530,800
414,453,542,370,499,745,534,449,528,800
414,452,543,370,500,748,536,451,527,799
416,455,544,374,502,747,537,454,530,799
416,456,544,374,502,746,538,455,530,799
417,455,542,372,501,744,535,451,529,800
417,457,542,374,503,744,536,454,530,800
418,457,543,377,504,743,534,453,530,800
