Sensor1,Sensor2,Sensor3,Sensor4,Sensor5,Sensor6,Sensor7,Sensor8,Sensor9,Sensor10
610,588,334,387,174,0,5,3,2,4
612,587,340,388,176,0,4,3,4,3
611,588,342,393,179,0,5,3,4,3
612,587,337,390,175,0,4,3,3,4
613,590,340,388,182,0,4,4,4,4
613,591,345,392,186,0,3,4,3,4
613,590,352,395,189,0,5,4,3,5
613,592,354,394,190,0,4,4,3,3
614,592,355,398,191,0,4,3,4,4
613,592,348,399,189,0,4,4,4,4
614,592,357,395,197,0,5,5,5,3
615,594,363,397,201,0,5,5,3,3
616,595,367,402,207,0,6,3,3,3
618,595,367,403,208,0,4,5,4,4
618,597,365,401,204,0,4,4,4,4
619,598,370,404,211,0,5,4,4,4
619,598,369,405,208,0,5,4,4,4
620,599,369,405,208,0,4,4,3,4
620,599,373,407,206,0,5,5,4,4
620,599,375,409,207,0,5,5,4,5
621,601,373,407,205,0,5,4,4,3
621,600,378,410,210,0,4,5,5,4
621,601,376,410,215,0,4,4,4,4
620,600,379,411,216,0,5,4,5,4
622,601,374,410,210,0,5,4,4,5
622,601,378,411,214,0,4,4,4,6
623,602,377,411,218,0,4,4,5,4
622,602,381,414,220,0,4,5,4,5
622,603,382,413,221,0,6,6,4,4
623,600,382,413,225,0,5,4,5,4
624,603,380,413,219,0,4,4,4,5
623,604,384,413,216,0,4,4,4,5
624,604,383,415,219,0,5,4,4,5
624,603,383,416,220,0,6,4,4,5
622,603,382,418,217,0,6,3,4,4
623,611,388,420,228,0,6,4,4,5
624,610,380,419,223,0,4,3,4,4
625,609,382,418,221,0,5,4,4,4
625,611,390,422,231,0,5,4,4,4
625,609,388,421,229,0,4,4,5,4
626,607,388,422,238,0,6,4,4,6
626,606,393,425,235,0,5,4,4,4
626,609,390,423,235,0,6,4,4,5
627,611,389,423,237,0,5,4,5,4
628,608,395,425,238,0,5,4,5,5
627,601,394,424,232,0,5,4,4,4
630,623,396,430,247,0,5,4,4,6
623,616,400,440,240,0,5,5,4,5
620,638,399,450,272,0,7,6,6,5
640,644,416,455,286,0,5,5,6,5
628,627,407,450,258,0,5,5,6,5
642,638,419,459,296,0,6,6,5,6
643,646,426,465,299,0,6,7,6,5
637,656,441,472,292,0,6,6,6,6
645,644,435,471,293,0,6,5,7,5
642,654,447,469,303,0,6,6,6,5
642,660,456,482,303,0,6,6,6,6
648,658,455,480,317,0,8,5,6,6
648,661,461,483,323,0,6,6,6,6
649,661,461,489,322,0,7,6,6,7
649,660,459,484,318,0,7,5,6,7
651,662,463,487,322,0,7,6,6,6
649,660,464,488,323,0,7,6,7,5
652,661,466,490,321,0,7,7,7,7
650,661,468,493,334,0,7,6,6,6
649,659,467,493,331,0,6,6,6,7
651,659,466,492,335,0,7,6,7,6
651,660,464,491,333,0,8,5,5,5
649,659,455,483,322,0,6,5,5,6
637,592,227,332,134,0,1,3,2,2
617,577,180,321,72,0,0,0,1,1
586,581,195,327,71,0,1,1,1,0
607,592,254,354,126,0,2,3,2,1
605,596,265,365,141,0,3,3,2,3
613,595,279,374,159,0,3,3,3,2
612,599,293,379,171,0,4,4,2,4
614,608,306,384,187,0,3,3,3,3
611,611,322,390,205,0,3,5,4,4
609,607,313,398,219,0,5,3,4,3
611,611,319,395,216,0,4,3,3,5
616,612,333,397,214,0,5,4,4,3
613,612,344,402,220,0,4,5,4,4
615,611,346,403,225,0,4,3,3,3
616,611,348,410,226,0,4,5,4,4
617,613,354,411,231,0,5,4,4,5
612,612,342,415,227,0,5,4,4,4
618,612,349,408,230,0,6,5,4,4
619,616,351,415,233,0,5,4,5,4
619,614,357,419,238,0,5,5,4,4
619,615,362,420,237,0,5,5,3,5
619,616,367,420,241,0,5,5,4,5
618,615,360,422,243,0,4,6,4,5
618,616,360,424,246,0,4,4,5,5
621,615,371,421,243,0,5,4,3,4
620,619,375,422,240,0,4,5,4,4
621,618,372,422,242,0,4,4,3,5
623,621,378,420,245,0,5,4,4,5
623,620,382,423,251,0,5,5,5,4
622,622,378,426,248,0,4,4,5,5
625,622,372,424,249,0,5,4,4,5
625,624,380,428,249,0,6,5,4,4
626,626,373,424,250,0,7,5,4,3
627,627,385,428,259,0,5,6,4,4
627,627,389,431,262,0,5,4,4,6
627,626,389,427,261,0,5,5,4,5
628,628,387,428,258,0,5,4,5,5
629,628,396,431,261,0,4,5,5,5
629,629,393,431,256,0,5,5,5,3
629,630,393,429,266,0,6,5,4,5
628,629,398,432,270,0,5,4,6,5
628,629,394,433,265,0,6,5,5,5
629,631,394,432,264,0,5,4,4,5
630,631,399,431,269,0,5,5,4,4
630,631,398,432,265,0,5,5,5,4
630,631,393,432,263,0,5,5,4,6
629,631,398,435,268,0,6,6,5,5
628,632,397,434,269,0,7,6,5,5
629,630,395,432,267,0,7,4,5,4
630,631,400,433,270,0,5,4,4,5
630,632,404,432,270,0,5,5,5,4
630,632,405,433,270,0,6,5,5,5
630,632,406,433,272,0,5,5,5,5
631,633,410,435,270,0,6,5,5,5
629,632,411,437,274,0,7,4,7,5
629,632,406,436,269,0,4,5,4,5
630,634,408,436,270,0,6,5,5,5
631,633,407,437,269,0,6,5,5,4
631,635,402,437,271,0,5,5,5,5
631,635,407,439,273,0,6,5,4,5
632,629,405,440,271,0,6,6,6,5
633,633,405,438,272,0,6,4,5,5
634,633,408,438,271,0,5,6,5,3
633,635,405,438,271,0,5,4,4,5
634,636,399,439,271,0,7,6,5,5
634,635,405,442,272,0,6,4,4,5
633,635,409,443,276,0,6,5,7,5
635,636,404,441,273,0,5,5,5,6
635,637,409,440,274,0,6,5,4,5
635,637,406,439,275,0,5,5,5,6
635,640,391,441,277,0,5,5,4,5
634,638,397,441,279,0,5,4,4,5
635,640,402,443,280,0,6,5,5,4
634,640,405,443,277,0,6,5,5,6
634,640,405,444,277,0,6,4,5,5
635,640,409,445,281,0,7,4,4,5
635,633,402,442,275,0,5,5,5,4
635,634,407,443,275,0,6,5,5,5
634,635,412,443,277,0,6,6,6,5
635,637,409,444,278,0,5,7,5,5
635,640,416,445,284,0,6,5,5,6
639,633,406,443,274,0,5,5,4,5
643,625,401,439,265,0,7,6,6,5
641,629,410,443,278,0,5,6,6,6
637,632,410,443,278,0,6,5,5,4
640,631,411,443,279,0,5,5,5,5
641,634,420,446,284,0,5,5,5,5
642,633,420,445,284,0,5,6,6,5
642,634,419,447,286,0,5,5,5,5
642,634,422,448,287,0,6,6,5,5
641,635,424,448,288,0,6,4,6,6
644,635,419,449,285,0,6,6,5,5
643,635,420,449,287,0,6,5,6,4
642,635,420,449,288,0,6,5,5,5
643,635,414,449,288,0,6,5,5,5
643,637,417,452,290,0,6,6,5,4
643,635,419,453,291,0,5,5,5,5
643,636,418,450,288,0,5,4,5,4
643,636,417,450,289,0,6,4,5,5
643,636,418,450,289,0,5,5,5,4
644,636,413,450,289,0,7,5,6,5
643,636,417,452,291,0,7,5,5,5
642,636,421,454,291,0,5,5,5,6
642,636,420,453,290,0,6,5,7,6
643,637,418,452,289,0,7,5,5,5
642,637,418,452,292,0,7,6,5,5
644,637,417,453,290,0,6,6,5,5
643,638,414,451,289,0,8,5,5,5
644,638,415,456,292,0,5,6,5,5
643,639,419,460,293,0,6,6,6,5
642,638,419,458,292,0,7,5,6,5
644,639,410,456,290,0,6,5,5,4
643,640,411,456,293,0,6,4,5,5
644,640,411,458,295,0,6,6,4,6
645,640,411,456,293,0,7,5,6,6
643,641,415,464,299,0,6,5,5,5
645,639,417,464,297,0,6,5,5,5
643,640,416,465,296,0,6,5,5,5
645,641,413,463,298,0,6,5,5,3
644,643,414,464,298,0,5,5,5,6
645,641,416,465,301,0,7,5,7,5
643,642,416,464,299,0,6,5,5,5
644,641,420,466,298,0,6,6,5,6
642,640,418,463,296,0,6,5,5,5
642,640,416,463,292,0,6,6,5,6
642,641,419,465,294,0,6,6,4,4
643,641,420,465,296,0,6,5,7,5
643,642,419,466,297,0,7,5,6,5
644,642,423,467,297,0,6,6,6,6
642,640,423,466,295,0,6,5,5,6
640,642,417,462,291,0,6,6,5,6
642,642,420,464,293,0,6,6,5,5
644,643,423,465,297,0,8,6,5,4
641,643,421,465,295,0,7,5,6,5
643,643,425,467,298,0,5,5,6,5
642,643,428,467,299,0,7,6,5,5
643,642,426,466,296,0,7,6,6,5
644,643,422,465,298,0,6,5,6,6
644,643,424,466,301,0,6,6,6,6
644,642,419,465,295,0,7,5,5,5
611,611,258,381,193,0,3,3,3,4
587,586,162,334,76,0,2,1,1,2
569,571,144,327,36,0,0,0,0,1
584,582,197,340,69,0,2,2,2,2
589,583,209,347,81,0,1,2,1,1
595,583,228,353,92,0,3,1,1,1
597,591,244,357,106,0,1,2,2,2
600,594,263,365,120,0,2,2,3,2
604,595,266,371,123,0,2,2,4,2
611,602,286,375,133,0,3,3,2,4
614,611,300,382,166,0,4,3,3,4
613,607,308,387,167,0,3,4,2,4
615,609,315,389,176,0,4,4,4,3
617,614,319,394,183,0,3,3,4,4
619,611,330,403,190,0,3,3,3,3
619,610,333,405,192,0,4,3,3,4
617,612,334,407,194,0,3,5,4,2
619,615,333,407,192,0,3,4,4,3
620,614,339,409,194,0,3,4,4,5
623,615,342,411,195,0,4,3,3,3
622,617,339,414,199,0,4,4,4,4
624,613,343,417,201,0,4,4,4,5
624,617,349,419,204,0,4,4,3,3
624,618,347,418,202,0,4,4,4,3
625,619,342,420,202,0,4,4,3,4
626,622,354,419,199,0,4,4,4,4
626,624,367,419,218,0,5,4,4,4
626,626,367,418,216,0,5,4,4,3
628,625,366,421,222,0,7,4,4,5
628,624,369,422,229,0,5,4,4,3
627,625,377,423,230,0,5,4,5,4
628,624,368,421,222,0,5,4,4,3
629,628,369,421,214,0,4,3,5,5
630,629,366,423,221,0,6,4,3,4
630,629,362,423,225,0,5,4,4,4
630,628,365,425,226,0,5,4,4,3
630,628,368,425,228,0,5,4,3,4
631,627,370,426,229,0,5,4,5,5
631,629,368,423,233,0,5,4,4,3
632,631,374,422,239,0,6,5,3,5
632,631,374,424,244,0,5,4,4,3
633,631,377,425,245,0,5,5,5,5
632,632,373,426,247,0,6,5,5,5
633,632,381,428,252,0,6,4,4,4
632,630,383,430,250,0,5,4,5,4
632,631,380,430,250,0,5,4,4,4
633,631,382,429,254,0,5,5,4,5
633,632,384,430,256,0,6,4,5,5
634,633,383,430,260,0,4,4,5,4
634,632,386,431,260,0,6,5,4,3
634,632,385,433,263,0,5,5,4,4
633,632,388,434,263,0,5,5,5,5
634,632,387,434,260,0,6,5,5,5
634,632,389,432,260,0,5,5,4,6
635,633,383,434,255,0,5,5,4,3
635,634,379,434,257,0,5,5,5,5
635,634,385,438,260,0,5,5,4,6
634,633,387,438,264,0,5,5,5,4
634,634,382,437,259,0,7,5,5,5
636,635,380,437,258,0,5,5,4,4
635,636,381,439,261,0,5,4,5,5
636,636,384,440,264,0,5,6,5,6
635,638,379,437,262,0,6,4,5,5
636,637,382,442,265,0,5,4,5,4
634,637,389,444,267,0,6,6,4,4
635,638,388,444,266,0,5,5,4,4
635,638,383,443,268,0,5,4,4,6
637,638,387,444,268,0,5,5,5,5
636,638,389,444,269,0,5,5,5,5
636,639,386,443,269,0,5,5,5,4
636,639,392,446,273,0,5,5,5,5
635,640,392,448,272,0,4,5,5,5
636,639,390,443,268,0,6,6,6,6
637,640,389,442,268,0,5,5,6,6
638,640,391,445,270,0,6,5,5,5
637,641,391,446,268,0,6,6,5,5
637,639,390,450,273,0,6,5,4,4
635,639,395,451,276,0,6,5,5,4
637,640,396,448,273,0,6,4,7,5
638,640,394,446,274,0,5,5,5,5
637,641,396,447,276,0,4,5,5,6
637,641,396,448,276,0,6,5,4,5
637,641,395,449,277,0,5,4,4,4
637,641,393,451,278,0,6,5,4,5
636,641,399,450,279,0,6,5,5,5
637,641,399,449,276,0,6,4,5,6
638,640,399,452,277,0,5,4,4,5
637,641,401,453,275,0,6,6,6,5
637,642,402,453,275,0,5,6,5,4
637,641,399,453,278,0,5,5,5,5
637,640,401,454,280,0,6,6,4,5
634,638,400,453,276,0,5,4,4,5
634,640,401,453,274,0,6,6,5,5
635,640,402,452,273,0,5,4,6,5
636,641,404,454,276,0,5,5,4,4
636,640,401,452,277,0,6,5,6,5
636,641,406,455,278,0,5,5,5,7
635,639,401,455,282,0,6,5,5,5
635,640,401,456,280,0,5,6,5,5
635,641,405,454,280,0,6,5,5,6
636,641,407,454,279,0,6,5,4,5
636,641,404,455,278,0,5,5,5,5
637,641,403,458,279,0,6,5,5,5
637,641,403,457,282,0,6,5,4,5
637,641,402,456,280,0,6,5,4,5
636,641,400,454,276,0,6,5,5,5
637,642,402,456,277,0,6,6,4,7
637,642,404,456,277,0,5,5,5,5
637,644,401,454,274,0,5,4,4,4
637,644,403,461,278,0,5,4,5,5
638,641,406,461,280,0,5,5,5,5
639,644,404,462,281,0,5,5,5,5
638,644,402,461,278,0,5,5,4,5
639,645,404,462,280,0,7,6,5,4
639,645,404,463,282,0,6,5,4,4
640,645,403,462,281,0,6,5,5,6
640,644,403,464,281,0,6,5,6,5
639,643,403,466,282,0,6,4,5,6
639,637,386,456,269,0,5,5,4,4
615,639,304,420,226,0,5,3,4,5
613,619,288,410,213,0,3,3,3,4
620,626,326,426,232,0,4,3,3,3
629,620,349,432,247,0,4,5,5,5
630,625,370,437,257,0,6,5,5,4
627,630,378,439,262,0,6,5,5,5
628,628,380,439,265,0,6,6,4,4
626,627,376,440,267,0,4,5,4,4
627,627,376,441,269,0,5,5,4,4
624,630,365,428,254,0,6,4,4,4
628,635,370,426,259,0,6,6,6,3
629,636,379,430,262,0,5,4,5,4
629,635,383,432,262,0,5,5,5,5
630,636,387,433,265,0,5,6,5,6
631,636,387,434,269,0,6,6,5,4
631,637,391,436,273,0,5,5,4,4
630,636,395,437,271,0,6,4,5,4
631,637,392,439,275,0,5,4,5,5
631,638,397,443,277,0,5,5,5,5
632,637,399,443,277,0,5,5,4,4
632,641,387,437,278,0,5,5,5,5
633,641,380,424,272,0,6,5,5,5
634,641,371,408,247,0,6,4,5,6
636,642,378,418,248,0,6,4,4,4
632,641,383,422,261,0,5,5,5,5
633,643,395,435,268,0,6,5,4,5
634,643,401,441,274,0,5,5,6,4
634,642,404,443,276,0,6,5,5,5
634,642,408,445,278,0,6,4,5,5
634,642,409,445,278,0,6,6,5,5
633,642,409,447,281,0,6,5,5,5
634,643,410,446,283,0,7,5,5,5
636,644,406,446,282,0,5,4,5,5
635,643,406,452,286,0,6,5,5,5
636,644,409,454,287,0,6,7,5,4
636,644,411,458,288,0,5,5,6,5
636,644,411,461,288,0,6,5,6,5
637,644,410,463,288,0,6,6,6,5
635,642,407,462,286,0,5,5,5,5
636,643,410,461,286,0,6,5,6,5
635,644,414,463,287,0,7,4,5,5
636,645,415,465,289,0,6,5,5,6
636,644,416,466,291,0,6,6,5,6
637,645,417,465,290,0,6,5,6,4
637,644,418,470,291,0,6,6,5,5
636,644,419,470,293,0,6,4,4,4
637,646,414,468,296,0,5,5,5,5
637,646,416,468,298,0,6,6,5,6
638,646,417,469,300,0,6,5,5,5
637,647,418,469,299,0,7,6,5,5
639,647,417,470,300,0,6,5,5,5
637,646,417,472,301,0,6,6,5,7
637,646,418,473,300,0,6,6,6,5
638,646,420,473,302,0,6,5,6,6
638,646,420,472,304,0,6,7,5,5
639,647,418,472,307,0,6,5,5,6
638,648,418,473,306,0,5,6,6,5
639,648,417,474,307,0,6,7,6,5
638,645,421,473,300,0,6,5,6,5
639,647,419,472,305,0,6,6,6,5
638,646,418,469,303,0,6,6,5,6
639,647,421,473,308,0,6,6,5,5
640,647,422,474,308,0,6,5,6,6
639,649,423,473,307,0,6,6,6,6
639,647,423,477,310,0,7,6,5,5
640,648,423,477,311,0,7,5,6,6
641,647,422,475,308,0,7,5,5,5
640,649,421,476,307,0,8,5,5,5
640,647,421,476,309,0,6,5,5,5
639,648,422,474,307,0,6,6,5,5
640,647,423,478,312,0,6,5,6,5
640,648,427,479,310,0,6,6,6,6
640,648,422,476,309,0,6,6,7,5
640,648,424,475,307,0,5,6,6,6
641,649,423,476,306,0,6,5,7,5
640,650,424,476,307,0,6,6,5,6
640,650,426,476,307,0,6,5,5,5
640,650,427,478,309,0,6,6,6,5
641,650,428,479,310,0,6,5,6,6
640,651,426,476,305,0,7,6,7,6
641,651,426,477,306,0,5,5,5,6
640,652,426,478,307,0,8,5,4,6
641,652,425,477,306,0,6,5,6,5
640,651,426,479,307,0,6,5,6,6
640,651,426,479,309,0,6,5,5,5
640,652,427,479,308,0,6,6,5,6
640,653,427,479,307,0,5,6,5,6
640,653,429,480,307,0,5,5,5,6
641,653,430,479,307,0,6,6,6,6
641,653,428,479,307,0,6,5,6,4
640,653,430,480,305,0,6,5,6,6
639,652,428,482,307,0,5,5,5,6
640,652,426,482,309,0,7,6,6,5
640,652,430,481,304,0,7,5,5,6
641,652,430,481,305,0,6,7,5,6
641,652,432,481,307,0,6,5,6,6
641,653,431,480,306,0,7,5,6,7
642,653,431,482,307,0,7,7,6,6
640,653,431,483,310,0,7,6,6,6
641,653,430,483,310,0,8,7,5,5
641,653,431,482,308,0,6,6,6,5
641,654,432,481,308,0,6,5,5,6
641,654,434,481,309,0,8,6,6,5
641,655,433,481,309,0,7,6,6,7
642,654,436,482,308,0,6,6,5,5
642,654,433,484,309,0,6,5,5,6
641,654,434,483,309,0,8,5,6,6
642,655,436,481,309,0,7,5,5,5
641,655,435,482,308,0,6,5,5,5
642,656,436,484,310,0,6,6,6,5
642,655,438,484,311,0,6,6,7,6
642,655,438,487,313,0,7,6,5,5
642,656,439,486,313,0,6,6,5,5
641,655,437,485,312,0,6,7,6,8
641,655,436,485,311,0,8,6,5,5
640,655,436,485,312,0,6,6,7,5
641,656,437,485,312,0,6,6,6,6
642,655,436,486,313,0,6,6,6,4
642,656,434,487,316,0,6,7,6,6
642,656,436,487,317,0,6,8,6,6
641,656,437,487,313,0,8,5,6,6
643,656,439,488,315,0,6,7,6,5
640,656,436,484,312,0,7,8,5,6
641,655,438,486,314,0,7,6,5,5
640,656,436,488,312,0,6,6,5,7
640,656,436,486,312,0,8,5,7,6
641,656,439,485,314,0,6,5,6,7
641,655,439,486,315,0,6,7,6,6
642,655,441,486,315,0,7,6,7,5
642,655,440,486,316,0,6,5,5,7
641,654,437,487,316,0,6,5,5,5
638,654,435,484,312,0,6,7,7,6
640,654,435,484,313,0,6,5,6,5
641,654,438,485,314,0,6,6,6,5
641,654,439,484,315,0,7,6,7,6
640,654,440,485,313,0,6,6,4,5
642,655,443,486,314,0,7,5,6,7
640,654,441,488,317,0,6,6,7,6
641,654,443,488,316,0,6,6,5,6
641,655,441,486,313,0,6,7,5,5
642,654,442,488,313,0,6,5,8,6
643,655,443,488,314,0,6,6,6,5
642,656,444,488,314,0,6,5,5,6
642,656,444,489,314,0,8,6,7,7
642,656,444,490,313,0,7,5,5,5
642,655,443,488,315,0,6,7,6,6
642,655,443,488,314,0,8,6,5,5
641,654,444,490,315,0,7,5,6,6
642,656,446,487,316,0,6,7,6,6
641,654,445,489,319,0,7,6,7,7
641,655,445,490,317,0,6,5,5,5
640,654,443,490,317,0,7,5,5,5
642,654,443,490,316,0,6,5,6,6
641,655,443,489,316,0,7,5,6,5
642,655,444,488,319,0,6,6,7,6
642,655,443,488,317,0,7,6,6,5
642,654,445,491,319,0,8,6,5,5
639,654,442,490,316,0,7,5,6,6
641,654,441,487,316,0,6,7,6,5
640,655,446,486,317,0,7,6,5,5
642,654,446,488,320,0,8,6,5,6
642,655,445,488,320,0,7,6,6,6
642,654,446,488,321,0,7,5,6,6
641,654,443,489,321,0,6,6,5,6
641,654,446,490,320,0,7,5,6,7
641,654,444,489,318,0,6,7,5,6
642,654,445,488,318,0,7,6,6,6
642,654,447,488,320,0,6,7,6,6
642,654,447,488,322,0,7,6,5,5
642,653,447,489,319,0,6,7,6,6
642,654,449,490,317,0,7,6,5,7
642,654,448,488,319,0,6,6,5,6
642,654,447,487,320,0,6,7,6,6
643,654,449,488,321,0,7,6,6,5
642,653,448,486,321,0,5,6,6,6
642,653,450,490,320,0,7,6,6,5
642,654,448,492,319,0,7,6,6,6
643,654,448,490,319,0,6,6,6,6
643,654,449,488,317,0,6,6,6,6
642,655,449,488,320,0,7,7,7,6
643,655,450,489,318,0,7,5,6,6
643,654,449,488,317,0,6,6,7,6
642,654,451,490,318,0,7,7,5,6
641,654,447,490,317,0,7,7,7,6
642,655,450,490,316,0,7,6,6,5
642,655,450,489,318,0,6,6,6,6
642,654,450,489,318,0,6,7,7,7
644,654,453,491,318,0,6,7,6,6
642,654,451,492,316,0,7,6,6,7
642,654,450,489,317,0,7,6,6,6
643,655,452,488,318,0,6,7,6,6
643,655,450,487,319,0,6,7,6,5
643,654,452,490,321,0,6,5,5,6
642,654,452,491,322,0,7,5,6,6
642,654,451,488,323,0,8,6,7,7
643,654,451,488,320,0,7,6,5,5
643,655,451,488,320,0,6,6,6,6
644,657,449,483,318,0,6,6,5,6
645,656,446,478,319,0,6,6,5,6
645,654,433,465,311,0,6,6,5,6
643,655,429,467,308,0,6,7,5,6
642,611,329,394,220,0,5,4,3,5
635,593,223,353,163,0,3,1,1,2
615,581,184,336,86,0,2,0,2,1
607,572,167,327,77,0,2,1,1,1
580,579,154,335,61,0,1,0,0,1
585,577,196,343,80,0,1,1,2,1
597,592,251,354,112,0,2,1,2,2
599,593,266,360,122,0,3,3,2,2
596,593,263,365,130,0,2,3,2,3
608,606,294,380,152,0,3,2,3,2
604,595,288,382,149,0,3,3,3,2
610,604,309,390,166,0,5,4,3,3
612,607,322,403,183,0,3,3,4,2
