Sensor1,Sensor2,Sensor3,Sensor4,Sensor5,Sensor6,Sensor7,Sensor8,Sensor9,Sensor10
490,554,657,375,587,666,531,505,464,520
493,555,658,365,589,665,531,504,462,520
490,558,657,369,588,663,531,505,462,521
489,555,657,376,588,665,531,505,463,521
489,554,658,377,588,666,531,506,463,521
491,554,658,378,588,665,531,505,462,521
489,555,658,376,589,666,531,504,462,522
489,557,658,366,589,664,531,506,462,521
493,559,658,361,589,661,532,506,461,521
490,558,657,373,590,663,532,505,462,522
489,558,657,376,591,663,531,505,463,523
488,558,657,378,589,664,530,505,463,523
491,560,658,369,591,663,532,505,463,525
493,559,658,357,589,660,531,505,461,520
491,559,657,367,590,662,531,505,463,523
490,561,657,374,589,664,530,505,464,523
490,560,658,376,590,664,530,507,464,524
490,560,658,373,590,661,531,505,463,525
494,560,657,364,590,660,530,505,463,523
493,561,658,376,591,659,530,506,463,524
493,561,658,377,591,660,529,507,464,525
492,561,658,376,591,661,530,505,466,525
493,561,658,374,591,659,531,506,464,526
495,563,660,369,591,658,531,505,463,525
494,563,658,375,592,657,531,506,464,527
492,560,659,377,592,660,530,506,464,527
492,560,658,377,592,660,530,505,464,526
494,562,658,375,592,660,530,505,462,524
495,562,660,375,592,658,530,507,462,524
496,565,659,377,592,657,530,506,460,523
495,563,658,379,593,659,529,504,460,524
493,560,658,378,592,660,530,505,462,526
500,562,657,380,591,660,529,505,460,524
500,565,658,375,593,656,530,504,461,523
500,566,658,378,592,656,531,504,461,525
499,565,658,378,593,656,529,504,461,526
496,560,657,378,594,659,530,506,461,526
496,559,659,379,593,660,529,506,463,526
497,561,658,376,592,660,530,506,461,524
499,565,658,376,593,656,530,508,461,523
498,565,658,377,594,657,531,506,462,526
496,561,658,374,595,659,530,506,463,526
494,561,658,376,594,660,530,506,464,525
494,561,659,375,593,659,531,507,463,527
497,564,660,370,594,654,530,508,461,525
496,562,659,376,594,658,530,507,463,525
494,560,658,376,594,661,530,508,463,526
493,559,659,376,595,660,531,507,463,525
493,560,659,377,595,660,531,507,464,526
491,564,661,374,596,656,532,507,462,526
491,564,660,377,594,656,531,507,463,526
489,559,661,374,596,658,531,507,464,527
490,559,659,380,595,660,531,507,464,527
490,559,660,379,595,659,531,507,465,527
490,562,661,377,594,658,532,508,464,527
491,565,661,375,594,651,532,506,462,526
491,564,659,378,595,657,531,507,465,528
489,563,660,379,595,657,530,507,465,527
488,558,660,379,595,660,530,507,464,526
489,560,660,380,595,659,532,508,465,527
489,563,660,378,596,659,532,507,465,528
493,566,660,374,597,651,533,507,463,527
490,564,660,378,596,656,531,507,466,528
493,564,660,379,597,657,533,506,466,528
491,562,660,379,597,658,531,507,466,527
494,562,660,380,595,658,531,507,466,528
493,564,660,377,596,656,531,506,466,528
496,565,660,376,596,652,532,507,465,528
491,564,659,376,596,655,530,508,467,528
489,564,658,378,596,657,531,507,467,528
490,563,659,380,595,658,532,507,466,527
491,565,659,377,596,656,533,507,466,528
492,565,660,374,596,648,531,507,463,527
497,566,661,377,596,651,531,508,464,527
497,565,660,376,597,653,530,508,465,527
496,562,660,377,596,656,530,508,465,526
496,561,659,375,596,656,529,508,466,528
497,562,659,372,597,655,531,508,466,527
499,564,659,368,597,650,531,507,464,526
497,563,659,374,596,654,531,507,464,528
498,562,659,376,597,655,531,507,465,528
496,562,658,377,596,657,532,507,465,528
498,563,658,377,596,656,532,507,466,528
498,564,660,375,597,654,532,506,464,528
500,565,659,372,596,652,531,506,465,528
497,561,659,377,597,656,530,506,465,527
496,561,659,379,597,657,529,507,466,528
496,560,659,380,597,658,530,509,466,528
497,562,659,374,597,658,531,509,465,528
498,564,658,370,596,653,530,508,464,527
498,564,659,377,597,656,530,508,463,528
497,564,659,379,597,657,528,508,464,529
495,562,658,381,597,659,528,509,465,530
495,563,660,379,597,658,530,508,464,528
496,564,659,371,597,656,530,510,463,527
498,565,660,370,597,652,530,510,461,529
495,564,659,374,599,657,530,509,464,530
493,566,659,379,598,659,531,509,465,530
493,564,659,379,597,660,529,509,464,530
494,565,660,380,599,659,530,508,463,528
495,565,660,379,599,659,531,509,463,529
493,565,660,379,599,659,530,510,462,529
489,563,660,378,599,660,529,508,462,529
488,563,661,379,599,661,528,508,462,529
488,562,661,379,600,662,529,509,463,528
490,564,661,376,601,662,532,509,462,528
490,565,661,377,601,661,531,509,462,528
491,564,660,380,600,662,532,510,464,527
491,565,660,374,601,661,532,510,463,528
490,563,661,373,600,663,531,510,462,528
490,564,660,363,600,659,531,509,461,526
491,565,660,362,600,660,531,510,459,527
491,566,660,357,600,658,532,510,460,525
491,566,661,364,600,660,532,510,462,526
486,564,660,375,601,662,530,509,464,528
484,561,661,376,600,663,528,510,462,526
485,564,660,378,600,664,530,509,463,526
486,565,661,378,600,661,530,509,460,526
486,566,660,379,601,663,530,510,462,527
