Sensor1,Sensor2,Sensor3,Sensor4,Sensor5,Sensor6,Sensor7,Sensor8,Sensor9,Sensor10
407,486,394,60,530,405,395,300,745,796
420,469,408,96,523,430,419,321,740,783
421,425,445,124,496,496,490,384,695,766
435,452,512,166,473,651,624,410,580,707
445,465,560,183,493,686,611,391,453,666
435,462,470,147,501,551,524,358,612,763
428,465,400,123,508,438,449,331,681,777
418,462,391,126,511,395,416,320,696,785
398,467,356,96,505,358,371,282,709,789
414,467,374,112,509,387,399,290,699,797
423,467,387,116,506,406,414,303,705,797
424,466,392,116,506,411,420,311,706,798
423,464,395,97,506,414,418,317,710,789
427,463,400,110,507,419,428,325,703,792
430,460,420,115,499,443,441,335,693,783
434,453,428,121,488,468,461,344,698,777
434,450,426,99,462,478,470,360,702,773
432,430,426,69,412,475,474,365,681,781
433,437,426,69,425,484,481,355,673,786
422,441,404,59,431,455,464,338,685,789
423,438,405,59,427,435,437,338,674,790
424,440,403,64,432,443,444,330,681,791
420,443,395,68,436,437,434,330,685,795
422,447,395,76,439,437,438,336,687,796
407,446,365,53,446,435,434,318,703,795
417,446,380,64,445,410,418,322,697,797
416,448,379,50,452,414,419,326,697,797
419,444,389,77,446,424,431,331,694,796
421,446,391,84,447,427,430,328,694,796
414,450,375,76,461,410,408,315,699,797
419,449,386,84,457,414,409,322,687,797
420,450,388,60,458,422,421,327,686,797
412,450,373,46,457,410,410,320,694,798
392,449,355,32,453,391,399,299,697,798
400,452,364,45,461,389,396,307,698,800
410,451,384,54,469,402,411,322,708,796
408,452,382,53,472,417,422,325,706,798
407,454,378,46,472,399,416,325,709,799
389,455,349,34,471,395,416,304,706,801
412,454,380,97,464,376,404,315,697,800
419,455,387,99,460,409,420,317,691,800
423,457,389,124,466,413,425,322,688,799
421,457,388,127,467,405,421,318,685,800
424,456,391,132,463,414,424,319,682,800
425,458,390,127,465,416,427,317,684,800
423,459,384,123,469,409,422,314,684,802
425,460,387,136,472,403,421,322,688,802
424,459,385,115,471,407,422,320,689,803
425,459,384,113,471,405,423,322,691,802
422,459,378,114,473,404,423,324,691,803
418,458,373,119,471,388,409,316,694,802
414,460,358,123,479,378,388,297,699,803
420,460,370,129,477,383,396,314,699,802
422,460,373,132,476,386,405,314,698,801
423,460,377,136,475,390,408,314,696,802
423,460,380,133,472,394,412,317,696,802
424,460,383,125,472,400,413,319,693,803
424,459,382,122,470,403,417,325,693,802
425,457,382,123,472,403,418,314,691,804
428,459,389,133,470,407,420,326,693,803
430,458,392,149,470,412,425,327,688,803
431,458,394,101,493,410,422,309,678,807
415,452,389,67,505,398,411,306,680,814
352,463,345,9,516,359,380,294,657,787
341,474,336,5,529,338,355,256,617,790
345,480,339,0,533,352,365,250,622,789
345,485,338,2,536,354,362,260,627,789
348,505,340,6,544,352,363,258,613,786
396,467,397,81,513,360,374,293,620,786
439,462,440,139,514,504,461,325,662,769
451,471,440,177,530,431,401,319,654,763
447,467,415,142,525,445,417,308,671,786
445,464,407,118,513,428,397,314,683,787
429,434,410,65,456,440,421,335,705,781
448,447,474,144,479,450,439,370,615,765
459,457,496,175,499,583,525,401,609,744
462,443,484,110,454,585,536,411,628,758
450,439,455,80,447,543,519,390,641,777
450,440,448,92,454,497,501,374,670,784
461,450,464,116,465,516,505,377,630,786
460,454,456,104,469,503,494,372,639,787
460,458,446,100,474,477,476,357,646,790
455,458,436,95,477,466,470,361,657,789
454,461,427,93,478,467,468,359,663,789
462,463,439,103,480,453,464,369,655,786
462,466,439,114,484,464,468,352,662,786
463,466,445,126,483,473,468,364,660,786
464,466,447,124,485,478,473,368,665,784
464,469,446,130,488,482,475,362,664,785
464,469,449,124,487,481,476,371,661,783
463,470,450,116,494,484,477,380,666,783
466,470,450,113,495,482,476,376,674,784
465,470,449,117,491,478,475,372,679,783
464,469,446,123,495,469,471,379,683,784
465,470,446,130,498,473,474,373,682,784
467,472,449,134,498,472,470,372,676,784
468,471,452,137,500,481,472,380,665,781
468,471,454,139,500,486,474,382,667,781
468,473,453,135,502,488,476,372,668,783
468,472,455,138,502,485,476,383,670,783
469,472,453,134,503,489,478,384,670,783
469,474,455,118,503,479,476,371,656,785
468,473,451,108,501,474,473,371,666,785
467,474,450,113,501,465,470,378,669,786
467,474,450,114,502,471,472,375,669,786
467,474,451,120,500,471,471,379,671,787
468,473,455,133,501,474,473,383,668,785
469,474,456,137,501,478,475,376,670,785
469,475,456,134,502,479,475,379,670,784
469,475,456,121,501,479,476,384,670,785
469,475,455,124,501,480,476,383,671,785
469,475,455,136,503,476,475,370,669,785
470,476,456,134,503,480,476,384,673,784
469,475,456,138,501,484,478,382,673,785
470,476,456,139,502,483,478,378,671,785
470,476,458,125,501,486,478,384,668,786
469,476,460,120,499,487,478,390,672,786
470,475,465,133,493,490,480,383,653,785
468,475,462,121,486,496,483,388,664,786
450,465,463,92,478,495,482,394,679,784
453,466,466,93,482,500,484,401,672,783
456,466,466,96,481,505,488,404,675,783
458,470,466,96,486,508,490,404,667,784
459,468,465,93,483,505,488,400,678,783
459,466,467,97,481,508,490,406,682,781
462,469,468,100,483,509,489,409,682,781
461,470,467,97,485,509,491,405,681,782
461,471,466,100,486,507,489,407,678,782
461,469,466,89,481,508,491,409,677,782
463,470,468,92,484,510,491,409,677,781
464,469,469,85,484,508,492,402,676,782
464,469,471,92,485,510,492,403,676,778
466,470,471,93,486,512,493,405,681,777
466,470,470,87,486,512,493,405,683,776
465,468,472,93,487,511,495,404,686,776
466,468,473,89,488,512,495,405,687,776
467,468,472,88,487,512,494,406,687,776
465,466,473,90,483,514,496,405,687,773
468,467,473,93,484,516,494,407,688,773
467,468,476,94,485,518,496,409,687,772
468,467,475,93,481,519,496,407,689,773
469,467,476,100,479,519,496,408,683,772
474,472,475,117,483,519,496,411,668,773
474,473,475,152,482,516,496,403,658,774
477,474,473,164,480,515,495,394,646,776
479,475,470,164,482,514,494,401,650,776
479,474,472,176,481,506,491,401,646,777
480,474,472,175,482,508,490,396,651,778
482,474,473,175,482,508,491,393,654,777
481,474,471,174,483,510,490,391,653,777
481,473,472,176,484,508,489,394,654,776
481,474,472,175,484,508,490,392,655,777
481,472,471,177,484,509,489,394,658,777
479,467,471,170,466,508,488,400,661,776
481,470,471,174,472,509,490,400,656,778
482,470,472,166,474,511,491,405,660,778
480,472,471,165,477,511,493,408,658,779
481,472,473,168,478,513,494,409,658,779
482,471,471,175,476,513,492,407,657,777
483,471,473,178,480,513,493,409,657,777
483,473,477,186,482,514,493,412,657,775
482,472,477,186,482,515,496,408,658,775
484,472,477,189,483,514,494,410,657,776
483,473,477,186,483,515,494,412,657,776
480,473,469,176,479,516,494,409,661,777
482,473,472,184,482,511,491,412,655,776
483,474,474,187,481,514,493,414,658,776
483,474,475,191,481,515,493,413,660,775
482,476,477,191,482,517,494,412,659,776
481,475,476,190,483,519,496,414,657,777
481,474,471,171,482,518,495,413,664,777
482,475,475,185,483,512,491,414,664,777
482,474,474,190,484,517,494,414,663,776
482,474,475,194,484,517,494,415,666,777
482,475,474,196,483,517,496,412,664,776
482,474,475,192,483,516,493,414,664,777
482,474,475,194,484,518,494,415,665,777
479,475,470,182,484,517,495,412,665,777
480,474,473,190,484,514,493,414,666,777
481,474,476,192,485,518,495,416,667,776
481,477,471,184,490,518,496,402,665,778
481,477,472,185,490,502,486,406,666,778
480,477,470,172,491,504,486,408,667,778
480,478,471,168,491,503,489,409,667,778
471,480,460,155,488,501,487,396,671,780
469,479,455,165,491,498,488,394,679,779
466,478,454,166,491,475,477,394,682,779
466,478,448,166,491,480,482,382,687,778
468,479,451,165,492,463,470,387,687,778
466,476,445,147,487,471,474,388,690,778
465,476,444,138,485,467,471,391,689,778
457,480,423,141,490,465,471,370,699,779
463,480,444,164,493,440,447,387,690,778
465,480,445,162,495,466,469,389,692,776
465,479,451,170,495,474,474,387,697,773
460,477,447,163,492,476,476,392,698,775
461,477,446,157,489,478,477,396,697,775
463,475,448,154,486,476,478,400,698,775
464,475,449,157,484,482,479,400,695,775
463,474,450,162,484,481,480,399,695,776
463,474,450,164,482,484,479,402,696,775
463,475,450,158,481,485,481,400,696,776
462,474,451,166,484,484,481,400,695,777
463,475,451,164,485,484,482,402,694,778
463,477,450,155,484,484,482,401,693,778
463,477,452,157,486,483,484,403,691,779
464,478,452,159,485,484,484,403,691,780
463,478,452,160,484,486,484,407,694,780
464,479,451,169,485,486,483,403,693,780
463,479,450,166,486,485,485,400,691,781
463,479,451,158,486,485,484,403,693,782
464,479,452,154,486,483,482,406,693,781
465,479,452,156,487,485,485,402,692,781
465,478,451,161,487,486,485,407,694,780
465,478,452,160,486,487,484,409,694,779
464,478,453,164,485,489,484,406,692,781
463,477,453,164,486,489,485,408,693,780
424,472,462,91,490,489,486,413,705,774
431,475,466,98,491,493,487,413,696,776
435,475,467,102,491,500,494,413,700,776
437,475,468,105,491,503,492,416,700,776
438,474,467,106,491,508,494,415,700,776
442,472,471,102,490,508,495,415,696,773
443,472,472,97,489,509,496,418,697,776
443,473,472,95,487,516,503,422,698,777
443,473,472,99,490,518,504,420,698,776
445,472,472,108,487,519,506,420,698,778
447,474,472,108,488,516,503,421,700,777
448,472,473,106,484,519,505,424,700,775
450,474,473,112,488,519,504,424,697,777
451,474,474,112,488,521,506,425,698,778
451,472,475,94,487,521,506,437,700,777
454,471,473,96,487,520,507,420,700,776
455,471,473,97,490,522,508,420,703,772
441,468,462,99,469,520,505,403,691,777
438,470,457,104,464,518,505,399,685,780
441,471,460,106,468,505,497,404,684,783
442,465,464,102,462,499,493,406,673,781
446,469,468,107,467,499,494,409,659,780
445,471,466,103,473,508,499,413,666,781
449,471,472,101,472,512,499,420,663,778
449,473,471,104,476,513,498,411,668,780
450,473,468,105,478,517,501,412,679,782
456,469,483,101,478,515,498,429,693,764
460,472,484,102,482,517,502,430,687,770
461,471,482,105,483,531,513,418,687,773
462,472,482,103,483,534,514,420,688,772
461,473,482,100,484,534,513,422,688,773
459,472,476,105,487,534,512,418,692,773
460,473,478,106,488,532,509,419,695,772
462,473,478,110,487,531,509,423,697,773
462,474,479,107,490,533,511,423,694,774
459,474,476,102,494,533,510,422,696,775
434,482,451,77,532,533,509,408,670,790
396,502,398,54,544,482,481,381,671,776
344,532,336,10,568,452,472,299,587,777
356,546,349,18,577,460,468,322,565,776
399,532,412,97,561,373,395,393,620,777
425,515,470,96,552,413,424,430,637,781
457,526,482,219,562,543,540,392,580,780
467,529,481,221,573,620,626,403,647,774
460,537,475,204,577,555,544,394,622,776
472,505,504,189,538,543,547,419,622,776
471,481,498,135,529,560,557,421,647,776
471,499,516,251,540,641,656,408,613,776
532,508,620,328,379,611,621,335,293,407
509,476,637,319,285,628,643,355,96,300
477,452,600,304,362,718,687,383,371,436
464,497,551,285,480,734,743,429,504,613
447,513,517,254,540,703,782,439,568,692
453,512,506,241,544,656,715,433,630,782
453,510,491,226,544,629,655,433,646,777
446,511,488,210,544,611,619,437,652,777
445,511,486,206,546,599,603,435,651,777
445,513,487,209,546,594,605,439,653,777
446,513,484,208,547,596,605,441,655,776
447,514,491,219,551,599,608,441,647,778
451,514,490,216,553,589,594,443,647,778
451,514,489,213,552,596,604,444,650,778
449,514,487,210,551,600,608,445,651,778
