Sensor1,Sensor2,Sensor3,Sensor4,Sensor5,Sensor6,Sensor7,Sensor8,Sensor9,Sensor10
428,432,454,16,495,596,638,489,819,623
431,371,466,0,434,621,720,524,822,595
425,375,468,0,416,639,774,498,805,577
450,443,517,112,495,652,706,514,777,603
468,464,523,148,517,631,727,514,748,605
461,462,517,120,500,649,780,493,707,587
459,463,492,95,511,643,768,501,752,597
449,459,504,54,512,641,746,513,790,600
445,452,477,29,495,637,737,504,748,600
446,463,478,27,480,652,709,484,766,619
449,467,489,29,490,657,702,476,768,620
449,473,494,46,508,656,659,474,782,627
409,379,474,0,405,690,531,447,804,576
390,376,437,0,403,691,614,454,794,627
416,466,481,16,514,688,602,465,760,642
421,478,481,10,514,668,622,471,791,634
424,440,484,17,517,658,625,465,812,636
426,421,489,21,514,661,637,473,816,634
422,439,484,16,515,662,651,478,812,634
417,460,474,1,494,667,672,473,749,638
422,436,463,1,493,679,698,471,762,635
419,443,490,1,473,653,728,485,807,607
408,431,450,0,438,650,747,492,814,607
402,421,439,0,440,657,768,473,800,608
394,408,450,0,409,671,761,469,754,604
407,410,456,0,419,683,734,474,739,613
408,421,452,0,430,692,677,483,703,638
409,415,451,0,432,702,671,471,709,644
410,414,453,0,431,701,671,463,715,646
412,410,456,0,432,702,676,470,724,645
415,405,456,1,435,700,687,471,731,647
415,414,464,1,439,700,699,474,733,635
415,422,462,0,441,699,707,477,713,642
419,431,466,0,438,701,712,477,707,641
418,430,466,0,424,700,715,480,717,638
411,424,454,0,418,700,700,469,708,642
391,417,451,0,416,707,658,465,685,655
393,402,456,0,415,698,704,479,738,637
392,403,445,0,407,697,721,472,730,646
388,390,443,0,411,703,708,456,732,649
393,385,449,0,421,706,686,474,721,654
392,390,449,0,424,706,665,489,707,660
385,387,441,0,423,708,668,477,714,661
383,388,444,0,424,709,658,434,718,661
392,390,443,0,420,711,645,437,708,662
388,395,442,0,421,711,628,431,703,669
391,397,445,0,425,713,631,436,706,671
392,398,446,1,426,713,629,438,700,670
394,403,448,1,427,715,631,444,699,669
395,404,450,0,431,714,636,451,706,672
395,406,452,0,432,713,633,454,708,672
396,409,452,0,432,715,637,458,710,672
398,408,454,0,433,714,639,464,709,673
399,409,456,0,431,715,639,468,702,672
399,409,457,0,433,717,641,470,703,672
411,415,466,4,440,710,666,475,721,650
407,413,466,4,439,706,680,474,706,642
408,418,466,11,440,712,717,474,700,643
409,422,470,7,441,714,714,474,690,640
417,436,481,11,444,699,736,476,709,627
423,448,491,22,473,694,737,480,734,629
427,450,491,16,470,686,736,485,741,625
430,459,492,16,475,685,747,491,741,627
431,461,495,16,475,683,745,494,743,625
431,462,495,17,477,683,743,490,743,628
432,463,494,18,478,686,745,492,744,628
433,464,496,18,476,687,743,492,745,626
435,465,497,21,480,687,745,492,743,627
433,465,496,21,483,686,746,495,744,627
436,466,497,20,483,685,749,496,743,625
435,466,498,19,484,687,751,497,743,626
437,474,498,20,482,687,751,494,743,626
437,479,498,28,481,686,749,495,740,623
438,479,499,23,481,688,749,500,743,623
