Sensor1,Sensor2,Sensor3,Sensor4,Sensor5,Sensor6,Sensor7,Sensor8,Sensor9,Sensor10
471,481,636,524,615,640,628,626,553,644
472,482,636,525,616,640,627,626,553,645
472,481,636,527,615,641,627,626,554,644
471,479,637,529,615,642,627,627,554,644
470,479,637,529,614,641,628,629,555,645
469,479,636,528,614,642,629,628,556,645
470,482,635,527,616,641,628,627,555,645
473,482,637,523,614,641,628,627,554,644
471,482,636,524,616,641,628,628,555,644
471,481,636,527,615,642,629,628,555,646
472,483,636,529,616,641,630,627,554,646
472,482,636,530,616,641,630,627,555,646
474,481,635,529,617,642,629,628,556,646
473,485,636,522,618,640,627,627,555,645
474,483,636,526,617,640,629,627,556,645
473,482,637,526,617,641,630,627,556,645
472,481,635,528,616,640,631,628,557,646
472,481,636,530,616,642,630,627,557,646
472,483,636,529,616,641,630,627,558,645
474,484,636,526,616,640,630,626,555,644
475,484,636,526,617,640,629,626,556,644
474,482,637,526,617,641,631,627,557,646
473,483,637,528,616,641,630,627,557,645
474,482,637,528,615,640,630,627,556,645
475,484,637,527,618,641,632,627,557,645
476,485,635,524,616,641,630,626,556,644
474,483,635,526,616,640,630,626,557,645
475,482,636,528,616,640,631,627,557,645
473,482,636,527,617,640,631,627,558,645
472,483,635,530,617,640,631,627,557,645
474,483,635,529,616,640,632,628,556,645
475,485,636,525,617,641,631,628,555,645
474,486,635,525,618,641,631,627,557,644
474,483,636,526,617,640,630,628,557,646
475,484,636,527,617,640,632,627,557,646
472,483,635,527,617,641,631,628,557,647
476,485,636,525,618,641,632,628,556,644
476,485,635,515,617,640,630,627,554,643
474,484,636,520,617,642,632,627,557,644
472,483,635,521,617,641,631,628,556,645
473,482,635,523,616,641,632,629,556,645
472,483,636,524,617,641,631,628,557,645
475,483,636,525,616,641,632,628,556,645
477,483,635,520,618,641,631,628,555,643
476,484,635,525,617,640,631,628,555,643
476,484,635,524,617,641,632,628,557,642
477,483,635,526,617,641,632,629,556,644
476,483,635,526,617,642,631,630,556,644
477,484,635,526,617,642,631,629,555,642
478,485,636,519,618,640,630,628,553,641
478,487,635,524,618,641,630,629,555,644
479,488,637,519,618,640,630,628,555,642
479,487,637,523,617,641,631,628,556,643
480,486,636,525,617,640,632,628,558,643
478,486,636,526,618,641,632,628,557,643
479,487,636,526,617,642,631,628,557,643
479,483,637,524,618,641,632,628,557,643
