Sensor1,Sensor2,Sensor3,Sensor4,Sensor5,Sensor6,Sensor7,Sensor8,Sensor9,Sensor10
499,542,584,505,520,566,208,296,160,493
498,542,584,507,523,567,214,308,193,497
498,543,584,508,523,568,240,311,201,499
495,542,585,507,522,567,249,307,195,499
501,544,584,510,522,567,199,283,153,496
499,543,585,508,523,569,131,296,182,501
502,544,586,512,523,569,237,297,177,501
505,546,585,512,522,569,123,299,167,498
500,543,585,509,523,572,136,308,184,500
498,543,584,507,523,568,153,310,197,503
500,543,584,509,523,570,205,301,180,500
503,544,585,512,522,571,142,303,183,502
506,547,585,512,523,570,197,295,163,498
503,545,585,513,523,573,230,312,183,503
498,543,584,509,524,568,231,313,198,502
498,544,585,511,524,568,251,314,191,504
501,544,585,511,525,570,237,311,195,505
504,546,586,511,523,571,224,303,173,501
506,548,586,514,523,571,235,307,176,503
503,544,586,513,524,574,147,317,192,503
500,543,586,509,525,570,156,315,196,503
500,544,586,509,523,571,165,317,191,504
500,544,585,511,523,570,165,320,197,505
506,547,586,513,522,573,192,306,164,501
507,548,585,514,524,572,193,307,174,502
502,547,586,510,523,575,200,311,188,504
498,545,586,510,524,572,212,318,200,505
499,546,586,510,525,572,240,320,202,505
501,546,587,513,524,571,243,318,202,506
505,548,586,511,523,574,143,303,169,501
505,548,585,514,524,574,215,316,184,505
501,546,586,512,524,574,156,324,201,505
497,545,586,510,525,573,166,322,202,505
499,546,586,511,525,572,173,321,199,506
501,545,585,512,526,572,168,322,204,507
506,547,586,514,524,574,159,311,182,504
507,548,586,513,524,574,140,320,192,507
502,545,587,513,525,576,163,322,204,507
502,545,586,510,525,572,169,321,202,507
500,545,586,509,525,573,170,320,200,507
500,545,586,510,525,574,175,320,202,508
503,545,587,513,525,573,176,324,206,508
506,548,586,513,525,576,155,312,174,504
506,548,586,513,526,575,150,323,191,508
504,547,586,513,524,576,170,324,205,509
504,546,586,512,524,575,176,328,213,508
503,546,586,513,525,574,179,328,215,508
502,547,586,513,525,576,180,327,209,508
505,548,585,512,523,575,182,312,190,507
508,551,585,515,526,569,119,300,170,506
509,553,586,514,523,574,119,279,145,499
509,552,587,515,526,569,104,290,160,505
508,554,586,514,527,571,108,275,142,502
509,554,585,516,527,569,103,273,135,504
509,555,586,516,527,567,91,267,122,500
509,556,586,514,526,564,81,265,109,499
508,555,585,510,526,563,80,262,114,501
500,551,586,509,527,565,115,293,178,505
505,551,586,510,527,570,139,308,187,505
508,553,587,508,526,571,134,311,180,504
507,551,586,510,527,573,159,315,193,505
504,550,586,510,528,571,157,316,198,504
501,550,587,510,527,571,157,317,202,505
501,550,587,511,528,571,161,318,207,505
501,550,586,510,528,571,160,318,211,504
498,549,587,509,528,571,161,323,212,506
499,549,586,511,528,570,165,318,208,507
502,550,587,512,527,571,165,317,193,507
500,550,587,508,524,572,161,301,159,488
502,564,589,511,533,573,116,271,115,495
505,566,587,516,534,556,83,292,165,507
506,556,589,515,531,572,105,294,158,506
504,552,589,517,534,575,132,286,165,498
502,553,590,517,535,573,131,284,148,494
504,556,590,518,534,572,113,284,153,495
504,557,589,516,537,574,122,287,152,500
504,559,589,516,536,571,115,278,136,503
507,561,588,517,537,564,111,276,138,504
508,562,589,520,536,566,98,272,114,502
509,562,589,517,538,565,79,265,101,501
510,563,589,517,534,557,63,242,52,488
513,564,589,518,536,556,42,239,55,495
513,564,589,519,536,544,25,241,55,493
510,565,587,514,536,543,32,249,76,493
506,559,587,514,532,553,67,257,97,488
506,557,590,509,530,563,99,258,138,483
509,557,587,509,522,552,81,240,100,467
503,545,585,508,522,555,90,286,177,492
497,541,586,508,525,563,138,308,205,498
495,539,586,507,525,564,161,312,207,499
504,546,587,512,525,564,160,304,180,499
502,544,587,514,526,569,143,310,194,503
498,542,587,511,526,569,157,317,204,502
500,542,587,513,526,569,170,322,201,503
499,545,588,514,526,568,175,317,195,503
502,546,587,515,527,570,164,311,178,502
501,546,587,515,527,571,148,311,182,503
504,546,587,516,527,570,150,314,188,505
507,549,588,514,526,572,149,299,174,501
508,549,587,516,526,570,132,306,180,504
504,548,588,515,527,571,140,312,192,507
498,544,588,509,527,572,150,316,201,505
500,545,588,509,527,571,162,318,199,507
501,547,588,513,528,572,161,322,199,507
509,550,587,513,526,572,160,301,165,500
511,552,588,513,527,569,129,302,169,503
508,551,589,516,527,573,130,310,190,505
