Sensor1,Sensor2,Sensor3,Sensor4,Sensor5,Sensor6,Sensor7,Sensor8,Sensor9,Sensor10
271,516,283,73,481,357,478,643,587,529
272,520,291,58,483,362,482,655,586,531
274,520,290,48,480,367,485,656,581,524
272,523,288,25,483,355,476,673,574,523
272,524,291,47,488,338,465,665,574,528
285,525,292,59,486,344,473,663,571,525
286,528,290,44,489,347,477,668,572,528
288,525,292,44,485,353,477,664,571,527
288,526,293,44,488,356,480,667,570,528
289,528,295,43,489,356,481,668,568,528
290,529,292,49,490,343,477,673,569,532
287,522,294,49,491,345,479,676,572,539
289,527,289,44,490,336,474,684,571,535
292,529,293,57,490,350,488,681,571,533
290,526,292,55,486,350,486,679,570,529
289,526,296,54,486,358,490,678,572,527
289,527,295,56,486,357,491,675,571,528
288,524,297,56,484,356,488,671,570,523
290,527,300,65,488,364,489,673,573,530
302,531,316,112,496,373,494,661,569,534
310,530,325,140,511,378,499,658,576,547
308,527,336,208,501,404,507,628,590,565
312,522,326,145,507,382,503,632,570,555
331,527,329,150,512,376,501,646,560,548
302,521,304,140,505,364,492,647,548,540
315,525,311,147,506,363,487,655,556,547
317,524,326,142,500,381,506,653,549,544
317,526,324,146,501,383,508,656,548,546
327,523,327,142,498,385,508,652,552,544
317,527,332,213,488,390,510,646,570,567
317,525,315,140,506,374,500,655,547,543
304,525,296,141,506,364,495,658,548,541
307,526,305,136,507,370,500,665,536,540
306,527,306,141,507,370,501,671,536,540
307,526,308,142,504,378,503,673,527,536
305,528,299,128,505,369,499,675,532,537
302,528,300,129,503,367,498,677,533,534
309,532,304,131,509,378,507,673,533,539
304,529,301,128,506,373,503,672,530,534
302,530,298,121,507,370,502,673,531,536
305,530,298,120,506,371,502,673,531,536
299,521,291,83,502,362,501,676,529,533
302,524,292,99,504,360,494,674,536,538
303,525,294,104,504,365,499,673,540,538
306,527,298,103,504,370,503,675,541,540
304,522,301,136,503,371,502,677,543,536
302,524,299,136,506,366,495,678,545,537
302,523,300,134,507,369,497,682,548,535
299,520,299,132,503,366,492,679,547,533
301,524,303,138,507,368,494,684,554,539
301,525,300,137,506,369,497,686,550,539
303,528,301,144,508,364,492,684,555,541
301,526,295,109,507,357,486,683,550,540
303,526,293,126,507,359,487,683,551,539
302,526,297,122,506,361,490,684,550,539
300,523,295,130,506,361,490,683,550,540
305,526,298,134,506,363,493,684,552,541
305,526,298,134,507,364,495,685,552,540
305,529,299,129,509,366,493,685,553,542
302,526,298,126,508,366,491,684,551,541
303,526,300,126,507,366,492,684,552,541
306,529,302,128,510,369,497,686,554,545
305,526,302,133,508,365,494,684,552,541
305,527,303,134,509,364,496,684,554,543
307,527,304,134,509,366,498,684,554,543
307,527,303,132,508,366,495,683,553,541
308,528,304,125,509,367,497,684,553,542
309,527,306,125,508,368,500,684,554,541
307,529,303,132,510,373,503,682,556,544
307,528,307,140,510,374,504,683,558,543
305,529,297,123,510,346,488,685,565,546
298,528,294,101,510,338,483,688,561,549
295,525,286,113,512,315,467,695,565,550
301,528,295,128,513,339,492,697,569,553
303,527,296,123,513,344,495,694,569,552
304,530,298,121,515,347,496,696,571,556
304,527,299,124,512,347,497,693,569,551
303,529,297,97,512,340,494,688,569,549
306,527,303,116,510,360,502,685,567,547
305,524,300,80,506,360,501,684,559,543
305,528,305,86,509,364,505,686,560,546
306,526,302,87,503,361,501,684,568,547
307,527,303,91,504,365,504,683,570,548
306,526,302,85,503,362,501,683,569,547
306,526,302,91,503,364,503,683,568,546
306,526,303,85,503,364,504,683,568,547
306,526,306,82,503,365,505,683,568,545
305,525,304,83,500,363,502,681,568,545
306,525,307,85,499,372,506,681,569,544
308,525,306,80,499,373,508,681,562,545
305,525,306,88,499,365,506,680,567,545
305,525,306,89,499,366,506,679,568,545
308,528,306,91,504,376,508,682,559,546
305,525,305,102,501,372,507,680,560,544
306,526,306,91,499,375,506,679,556,544
305,525,305,97,500,374,506,678,556,543
305,524,306,101,499,373,507,679,555,543
306,525,306,91,499,374,509,680,556,543
305,525,306,91,499,374,509,679,556,544
310,527,307,95,502,378,511,681,558,546
308,524,307,96,500,377,509,680,560,544
308,525,309,92,501,377,510,678,557,544
308,525,308,92,500,377,509,678,557,544
305,521,307,80,496,374,507,678,555,539
307,524,309,86,498,377,510,681,555,542
307,523,307,87,498,378,511,680,553,543
309,523,313,140,506,384,510,674,554,547
350,527,337,214,516,388,503,671,556,554
370,527,351,208,507,388,500,660,562,550
353,527,337,156,505,377,498,668,545,532
355,526,333,155,502,376,499,668,539,528
351,529,336,153,505,379,504,670,544,532
351,528,334,146,502,376,505,672,546,533
354,523,335,145,499,385,508,684,548,527
360,524,336,146,499,381,505,683,543,526
356,523,337,146,496,383,506,686,542,522
350,522,334,146,497,384,509,686,544,523
349,521,337,149,495,384,510,686,546,524
348,521,337,155,496,386,510,684,547,525
346,522,338,158,495,387,510,685,546,521
345,521,334,157,492,385,509,684,544,520
345,521,335,151,492,387,511,686,544,520
343,521,333,150,492,386,510,686,545,521
